"","LOCALITY_NAME","POSTCODE","SA2_MAINCODE","SA2_NAME"
"124","KALEEN",2617,801011016,"Kaleen"
"125","GLEN EAGLES",2902,801071082,"Kambah"
"126","GLENEAGLES",2902,801071082,"Kambah"
"127","KAMBAH",2902,801071082,"Kambah"
"128","CARRINGTON",2604,801061131,"Kingston (ACT)"
"129","KINGSTON",2604,801061131,"Kingston (ACT)"
"130","MANUKA",2604,801061131,"Kingston (ACT)"
"131","KOWEN",2620,801031032,"Kowen"
"132","BELCONNEN",2615,801011017,"Latham"
"133","LATHAM",2615,801011017,"Latham"
"134","LAWSON",2617,801011018,"Lawson"
"135","KENSINGTON GARDENS",2602,801051057,"Lyneham"
"136","LYNEHAM",2602,801051057,"Lyneham"
"137","LYNEHAM NORTH",2602,801051057,"Lyneham"
"138","N LYNEHAM",2602,801051057,"Lyneham"
"139","NORTH LYNEHAM",2602,801051057,"Lyneham"
"140","LYONS",2606,801091105,"Lyons (ACT)"
"141","WODEN VALLEY",2606,801091105,"Lyons (ACT)"
"142","MACARTHUR",2904,801071083,"Macarthur"
"143","MACGREGOR",2615,801011019,"Macgregor (ACT)"
"144","JAMISON",2614,801011020,"Macquarie"
"145","JAMISON CENTRE",2614,801011020,"Macquarie"
"146","MACQUARIE",2614,801011020,"Macquarie"
"147","PIALLIGO",2609,801031115,"Majura"
"148","MAWSON",2607,801091106,"Mawson"
"149","WODEN VALLEY",2607,801091106,"Mawson"
"150","MCKELLAR",2617,801011021,"McKellar"
"151","MELBA",2615,801011022,"Melba"
"152","CRACE",2912,801041045,"Mitchell"
"153","MITCHELL",2911,801041045,"Mitchell"
"154","MOLONGLO",2617,801101137,"Molonglo"
"155","WESTON CREEK",2617,801101137,"Molonglo"
"156","WHITLAM",NA,801101138,"Molonglo - North"
"157","MONASH",2904,801071084,"Monash"
"158","MONASH PARK",2904,801071084,"Monash"
"159","TUGGERANONG",2904,801071084,"Monash"
"160","MONCRIEFF",2914,801041120,"Moncrieff"
"161","TENNENT",2620,801111141,"Namadgi"
"162","BRACKS",2611,801111141,"Namadgi"
"163","BOOTH",2620,801111141,"Namadgi"
"164","MOUNT CLEAR",2620,801111141,"Namadgi"
"165","TOP NAAS",2620,801111141,"Namadgi"
"166","WILLIAMSDALE",2620,801111141,"Namadgi"
"167","WILLOWVALE",2620,801111141,"Namadgi"
"168","SHANNONS FLAT",2611,801111141,"Namadgi"
"169","BLUNDELLS FLAT",2611,801111141,"Namadgi"
"170","CANBERRA CENTRAL",2604,801061067,"Narrabundah"
"171","NARRABUNDAH",2604,801061067,"Narrabundah"
"172","HAZELBROOK",2913,801041046,"Ngunnawal"
"173","NGUNNAWAL",2913,801041046,"Ngunnawal"
"174","PICCADILLY",2913,801041046,"Ngunnawal"
"175","GINNINDERRA VILLAGE",2913,801041047,"Nicholls"
"176","GOLD CREEK",2913,801041047,"Nicholls"
"177","GOLD CREEK VILLAGE",2913,801041047,"Nicholls"
"178","HARCOURT HILL",2913,801041047,"Nicholls"
"179","HUNTLEY",2913,801041047,"Nicholls"
"180","NICHOLLS",2913,801041047,"Nicholls"
"181","O'CONNOR",2602,801051058,"O'Connor (ACT)"
"182","RESERVOIR",2602,801051058,"O'Connor (ACT)"
"183","O'MALLEY",2606,801091107,"O'Malley"
"184","OXLEY",2903,801071086,"Oxley (ACT)"
"185","TUGGERANONG",2903,801071086,"Oxley (ACT)"
"186","PAGE",2614,801011023,"Page"
"187","CENTRAL PARK",2913,801041048,"Palmerston"
"188","PALMERSTON",2913,801041048,"Palmerston"
"189","THE PALMS",2913,801041048,"Palmerston"
"190","ASPEN ISLAND",2600,801061068,"Parkes (ACT) - South"
"191","PARKES",2600,801061068,"Parkes (ACT) - South"
"192","CAPITAL HILL",2600,801061068,"Parkes (ACT) - South"
"193","PEARCE",2607,801091108,"Pearce"
"194","PHILLIP",2606,801091109,"Phillip"
"195","SWINGER HILL",2606,801091109,"Phillip"
"196","WODEN",2606,801091109,"Phillip"
"197","RED HILL",2603,801061069,"Red Hill (ACT)"
"198","WODEN VALLEY",2603,801061069,"Red Hill (ACT)"
"199","REID",2612,801051127,"Reid"
"200","RICHARDSON",2905,801071087,"Richardson"
"201","RIVETT",2611,801081095,"Rivett"
"202","WESTON CREEK",2611,801081095,"Rivett"
"203","RUSSELL",2600,801051128,"Russell"
"204","BELCONNEN",2614,801011024,"Scullin"
"205","SCULLIN",2614,801011024,"Scullin"
"206","SPENCE",2615,801011025,"Spence"
"207","STIRLING",2611,801081096,"Stirling"
