Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SEXP Sex","Male","Female","Total",
"Figtree - Keiraville",10471,10609,21083,
"Helensburgh",4449,4338,8788,
"Thirroul - Austinmer - Coalcliff",5596,5708,11306,
"Woonona - Bulli - Russell Vale",9581,10258,19840,
"Wollongong - East",7045,6923,13968,
"Wollongong - West",8549,8157,16707,
"Bulahdelah - Stroud",2387,2334,4725,
"Forster",6774,7496,14270,
"Forster-Tuncurry Region",3147,2946,6085,
"Tuncurry",2943,3241,6182,
"Kempsey",7314,7443,14756,
"Kempsey Region",4632,4395,9024,
"Macksville - Scotts Head",2341,2451,4792,
"Nambucca Heads",3218,3537,6752,
"Nambucca Heads Region",3860,3802,7665,
"South West Rocks",2517,2617,5133,
"Lord Howe Island",190,190,381,
"Laurieton - Bonny Hills",8163,8586,16743,
"Port Macquarie - East",13428,14620,28050,
"Port Macquarie - West",8047,9283,17326,
"Port Macquarie Region",2721,2574,5293,
"Wauchope",5348,5799,11150,
"Gloucester",2478,2552,5033,
"Old Bar - Manning Point - Red Head",5107,5425,10531,
"Taree",9815,10660,20478,
"Taree Region",6312,6126,12444,
"Wingham",2551,2825,5374,
"Albury - East",7234,7815,15047,
"Albury - North",4802,5038,9845,
"Albury - South",4952,5348,10302,
"Albury Region",5807,5802,11611,
"Lavington",6963,7511,14473,
"Hay",1497,1474,2970,
"Wentworth - Buronga",3029,2934,5965,
"Wentworth-Balranald Region",1911,1700,3611,
"Corowa",2673,2804,5482,
"Corowa Region",3405,3337,6742,
"Deniliquin",3585,3854,7434,
"Deniliquin Region",3477,3277,6751,
"Moama",2835,3008,5845,
"Tocumwal - Finley - Jerilderie",4886,4841,9728,
"Armidale",11144,12206,23348,
"Armidale Region - North",2275,2216,4490,
"Armidale Region - South",2921,3101,6023,
"Walcha",1617,1609,3226,
"Glen Innes",4381,4453,8832,
"Inverell",5589,6071,11660,
"Inverell Region - East",2654,2587,5235,
"Inverell Region - West",3030,2956,5987,
"Tenterfield",3253,3376,6624,
"Moree",4064,4141,8203,
"Moree Region",2845,2609,5451,
"Narrabri",3481,3683,7170,
"Narrabri Region",2479,2323,4797,
"Gunnedah",4499,4685,9191,
"Gunnedah Region",2163,1973,4133,
"Quirindi",3869,3820,7684,
"Tamworth - East",10003,10362,20372,
"Tamworth - North",7087,7991,15077,
"Tamworth - West",2720,2842,5563,
"Tamworth Region",9183,9294,18472,
"Belmont - Bennetts Green",8687,9041,17724,
"Belmont South - Blacksmiths",2753,2849,5604,
"Charlestown - Dudley",11676,12284,23965,
"Glendale - Cardiff - Hillsborough",11484,11908,23387,
"Mount Hutton - Windale",4225,4679,8901,
"Redhead",1705,1816,3517,
"Swansea - Caves Beach",5660,5885,11546,
"Valentine - Eleebana",5886,6112,11994,
"Warners Bay - Boolaroo",6428,6939,13371,
"Bolton Point - Teralba",4146,4374,8523,
"Bonnells Bay - Silverwater",4276,4439,8719,
"Edgeworth - Cameron Park",6883,7315,14200,
"Morisset - Cooranbong",7288,7668,14963,
"Toronto - Awaba",6448,6976,13425,
"Wangi Wangi - Rathmines",4458,4437,8897,
"West Wallsend - Barnsley - Killingworth",3219,3258,6481,
"Adamstown - Kotara",7659,7938,15600,
"Beresfield - Hexham",4116,4243,8358,
"Hamilton - Broadmeadow",5879,5967,11847,
"Lambton - New Lambton",7950,8575,16526,
"Maryland - Fletcher - Minmi",6726,6845,13570,
"Mayfield - Warabrook",7387,7487,14873,
"Merewether - The Junction",6760,6855,13622,
"Newcastle - Cooks Hill",5452,5309,10757,
"Newcastle Port - Kooragang",7,9,16,
"Shortland - Jesmond",5807,5731,11544,
"Stockton - Fullerton Cove",3739,3755,7495,
"Wallsend - Elermore Vale",9432,10195,19628,
"Waratah - North Lambton",5867,6192,12059,
"Wickham - Carrington - Tighes Hill",4014,3985,8003,
"Ballina",8083,9032,17115,
"Ballina Region",8253,8580,16835,
"Bangalow",2773,2899,5670,
"Brunswick Heads - Ocean Shores",3875,4340,8212,
"Byron Bay",4582,4925,9503,
"Evans Head",2644,2579,5219,
"Lennox Head - Skennars Head",3745,3997,7741,
"Mullumbimby",3868,4124,7994,
"Casino",5930,6304,12231,
"Casino Region",3590,3381,6972,
"Goonellabah",6116,7017,13122,
"Kyogle",3684,3628,7312,
"Lismore",7468,7815,15282,
"Lismore Region",7557,7468,15028,
"Kingscliff - Fingal Head",6436,6715,13150,
"Murwillumbah",4227,4712,8942,
"Murwillumbah Region",4928,4727,9653,
"Pottsville",6452,6735,13181,
"Tweed Heads",9399,10027,19418,
"Banora Point",7316,8322,15636,
"Terranora - North Tumblegum",1614,1634,3249,
"Tweed Heads South",3746,4400,8146,
"Griffith (NSW)",9445,9699,19143,
"Griffith Region",6702,6175,12880,
"Leeton",4960,5128,10086,
"Narrandera",2993,3037,6034,
"Tumbarumba",1812,1637,3445,
"Tumut",3065,3205,6275,
"Tumut Region",2428,2288,4715,
"Cootamundra",3714,3856,7566,
"Gundagai",1816,1778,3596,
"Junee",3543,2699,6245,
"Temora",3351,3368,6717,
"Wagga Wagga - East",8124,8461,16585,
"Wagga Wagga - North",2067,2335,4404,
"Wagga Wagga - South",10243,11020,21266,
"Wagga Wagga - West",5944,6212,12155,
"Wagga Wagga Region",7524,7292,14819,
"Berry - Kangaroo Valley",4269,4510,8788,
"Callala Bay - Currarong",1833,1786,3611,
"Culburra Beach",2536,2422,4962,
"Ettrema - Sassafras - Budawang",31,19,54,
"Huskisson - Vincentia",2014,2177,4194,
"North Nowra - Bomaderry",7729,8031,15759,
"Nowra",10103,9938,20040,
"St Georges Basin - Erowal Bay",6782,7220,14006,
"Sussex Inlet - Berrara",2194,2147,4345,
"Tomerong - Wandandian - Woollamia",1735,1666,3405,
"Ulladulla",7368,7909,15279,
"Ulladulla Region",2612,2457,5063,
"Bowral",5998,6947,12948,
"Hill Top - Colo Vale",3028,3002,6026,
"Mittagong",4172,4826,8999,
"Moss Vale - Berrima",4742,5055,9801,
"Robertson - Fitzroy Falls",1749,1763,3506,
"Southern Highlands",3191,3394,6585,
"Baulkham Hills (East)",11283,11659,22943,
"Baulkham Hills (West) - Bella Vista",9833,10231,20068,
"Glenhaven",3018,3229,6253,
"West Pennant Hills",6245,6389,12640,
"Castle Hill - Central",3709,3905,7609,
"Castle Hill - East",2510,3083,5594,
"Castle Hill - North",5894,5999,11886,
"Castle Hill - South",4614,4900,9519,
"Castle Hill - West",2559,2673,5239,
"Cherrybrook",9210,9552,18768,
"Kellyville",11436,11790,23231,
"Dural - Kenthurst - Wisemans Ferry",10474,10547,21019,
"Galston - Laughtondale",2591,2622,5210,
"Bilpin - Colo - St Albans",1376,1316,2691,
"Kurrajong Heights - Ebenezer",11040,10858,21898,
"Pitt Town - McGraths Hill",5320,5211,10531,
"Rouse Hill - Beaumont Hills",11273,11373,22651,
"Blacktown (East) - Kings Park",8594,8328,16920,
"Blacktown (North) - Marayong",9013,9018,18024,
"Doonside - Woodcroft",11118,11408,22526,
"Lalor Park - Kings Langley",12407,12470,24874,
"Seven Hills - Toongabbie",12061,11863,23920,
"Blacktown (South)",6174,6147,12325,
"Blacktown (West)",8073,8087,16154,
"Glenwood",7980,8146,16128,
"Parklea - Kellyville Ridge",16629,16019,32645,
"Riverstone - Marsden Park",8760,8547,17307,
"Acacia Gardens",1902,1894,3796,
"Quakers Hill",11308,11630,22945,
"Bidwill - Hebersham - Emerton",8947,9495,18439,
"Glendenning - Dean Park",4114,4240,8354,
"Hassall Grove - Plumpton",10152,10521,20673,
"Lethbridge Park - Tregear",10040,10674,20705,
"Mount Druitt - Whalan",11223,11479,22701,
"Prospect Reservoir",29,11,39,
"Rooty Hill - Minchinbury",10423,10724,21152,
"Banksmeadow",10,11,18,
"Botany",5408,5413,10822,
"Mascot - Eastlakes",12228,12181,24407,
"Pagewood - Hillsdale - Daceyville",5564,5809,11374,
"Port Botany Industrial",6,5,11,
"Sydney Airport",35,22,61,
"Marrickville",12998,13542,26540,
"Petersham - Stanmore",10045,10185,20234,
"Sydenham - Tempe - St Peters",3934,3914,7840,
"Darlinghurst",6544,4772,11317,
"Erskineville - Alexandria",8305,7930,16236,
"Glebe - Forest Lodge",9343,10267,19614,
"Newtown - Camperdown - Darlington",12185,12661,24840,
"Potts Point - Woolloomooloo",11944,9256,21200,
"Pyrmont - Ultimo",10733,10923,21655,
"Redfern - Chippendale",11620,10873,22495,
"Surry Hills",9430,6987,16416,
"Sydney - Haymarket - The Rocks",13814,13595,27408,
"Waterloo - Beaconsfield",16916,16143,33061,
"Bondi - Tamarama - Bronte",9073,9329,18401,
"Bondi Beach - North Bondi",10277,10450,20729,
"Bondi Junction - Waverly",7950,8909,16853,
"Centennial Park",0,0,0,
"Double Bay - Bellevue Hill",11627,13240,24870,
"Dover Heights",5184,5649,10830,
"Paddington - Moore Park",7203,7974,15171,
"Rose Bay - Vaucluse - Watsons Bay",5532,6312,11844,
"Woollahra",3490,4193,7686,
"Coogee - Clovelly",12029,13422,25455,
"Malabar - La Perouse - Chifley",12542,11491,24036,
"Kensington (NSW)",7481,7408,14887,
"Kingsford",7966,7639,15602,
"Maroubra - North",4720,5093,9812,
"Maroubra - South",5138,5548,10681,
"Maroubra - West",5005,5193,10195,
"Randwick - North",7972,8904,16874,
"Randwick - South",6331,6786,13113,
"Bass Hill - Georges Hall",10717,11111,21834,
"Chullora",440,462,900,
"Condell Park",5651,5652,11305,
"Greenacre - Mount Lewis",12885,13083,25964,
"Padstow",8054,8423,16475,
"Panania - Milperra - Picnic Point",12602,13188,25788,
"Revesby",7870,8353,16223,
"Yagoona - Birrong",10319,10390,20706,
"Bankstown - North",7911,8330,16237,
"Bankstown - South",7978,8016,15993,
"Belmore - Belfield",9392,9650,19033,
"Canterbury (South) - Campsie",15292,15330,30620,
"Kingsgrove (North) - Earlwood",11634,12046,23679,
"Punchbowl",10623,10137,20753,
"Roselands",6775,6958,13739,
"Lakemba",9193,7826,17019,
"Wiley Park",5380,4835,10217,
"Hurstville",11619,11989,23613,
"Mortdale - Penshurst",11534,12374,23907,
"Narwee - Beverly Hills",6617,7164,13781,
"Oatley - Hurstville Grove",6182,6429,12614,
"Peakhurst - Lugarno",8674,9260,17937,
"Riverwood",5534,5744,11277,
"South Hurstville - Blakehurst",11716,12348,24070,
"Arncliffe - Bardwell Valley",10752,10697,21443,
"Bexley",13146,13333,26480,
"Kingsgrove (South) - Bardwell Park",6175,6437,12615,
"Kogarah",5631,5682,11315,
"Kogarah Bay - Carlton - Allawah",7955,8009,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",6744,7222,13972,
"Rockdale - Banksia",10208,9757,19960,
"Sans Souci - Ramsgate",7550,8426,15976,
"Concord - Mortlake - Cabarita",10443,11300,21742,
"Concord West - North Strathfield",12212,12633,24850,
"Drummoyne - Rodd Point",8624,9706,18326,
"Five Dock - Abbotsford",9651,10796,20440,
"Balmain",7521,8172,15686,
"Leichhardt - Annandale",12661,13729,26388,
"Lilyfield - Rozelle",6671,7318,13991,
"Ashfield",12111,12384,24497,
"Burwood - Croydon",11822,12831,24653,
"Canterbury (North) - Ashbury",5115,5332,10449,
"Croydon Park - Enfield",8159,9069,17222,
"Dulwich Hill - Lewisham",8038,8773,16809,
"Haberfield - Summer Hill",6590,6884,13474,
"Homebush",8553,7658,16211,
"Strathfield",12535,12479,25016,
