Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HSCP Highest Year of School Completed"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HSCP Highest Year of School Completed","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
"SA2 (UR)",
"Sawtell - Boambee",6027,1247,4942,1505,890,39,1195,3636,19474,
"Urunga",1356,288,1308,439,224,9,390,648,4667,
"Woolgoolga - Arrawarra",3906,749,3064,923,507,91,1044,2241,12521,
"Bourke - Brewarrina",818,236,766,344,246,23,633,932,4000,
"Cobar",1065,316,1125,324,241,14,543,1031,4657,
"Coonamble",942,243,848,304,277,26,615,856,4113,
"Nyngan - Warren",1263,260,1205,400,251,20,565,1005,4971,
"Walgett - Lightning Ridge",1489,391,1398,534,477,55,792,1287,6413,
"Broken Hill",3671,1131,4881,1754,1349,43,1929,2944,17709,
"Far West",518,174,530,218,196,8,386,475,2507,
"Coonabarabran",1963,443,2088,692,527,15,820,1406,7950,
"Dubbo - East",3083,616,2558,687,469,41,757,2174,10379,
"Dubbo - South",5656,932,3903,1006,676,44,1267,3466,16942,
"Dubbo - West",2458,535,2113,614,329,27,683,2015,8769,
"Dubbo Region",1633,286,1452,361,214,7,481,1190,5626,
"Gilgandra",986,233,1167,410,330,10,409,821,4376,
"Narromine",1647,357,1609,518,343,20,638,1414,6537,
"Wellington",1905,409,1986,764,498,20,1643,1606,8831,
"Branxton - Greta - Pokolbin",2734,607,2692,763,342,19,671,2297,10124,
"Cessnock",4528,1374,5893,2076,1205,56,2494,4366,21995,
"Cessnock Region",2095,488,2101,584,305,8,800,1538,7926,
"Dungog",2324,504,2637,702,422,14,711,1662,8976,
"Kurri Kurri - Abermain",3409,1029,5379,1918,978,33,1288,3605,17639,
"Singleton",4423,1177,4258,1162,637,24,953,3449,16094,
"Singleton Region",1153,294,1355,348,176,8,578,1015,4922,
"Maitland",1970,408,1572,496,285,21,484,1374,6601,
"Maitland - East",8444,1633,7008,2129,1010,59,1477,5661,27416,
"Maitland - North",2706,432,1775,446,157,11,359,1726,7611,
"Maitland - West",5689,1476,6195,1790,818,47,1318,5196,22525,
"Thornton - Millers Forest",3079,592,2763,672,300,18,292,2292,10003,
"Anna Bay",1600,407,1537,472,195,21,551,938,5726,
"Lemon Tree Passage - Tanilba Bay",1557,406,2025,679,289,3,539,1186,6685,
"Nelson Bay Peninsula",6704,1334,5514,1558,722,93,1937,3154,21015,
"Raymond Terrace",3201,829,3824,1341,666,31,1070,2852,13825,
"Seaham - Woodville",1685,306,1546,374,138,7,274,1090,5412,
"Tea Gardens - Hawks Nest",1454,324,1641,530,230,17,369,485,5038,
"Williamtown - Medowie - Karuah",3842,832,3585,1033,416,17,1090,2854,13673,
"Muswellbrook",2788,811,3139,967,535,27,1039,2765,12072,
"Muswellbrook Region",897,240,1134,328,197,9,356,862,4013,
"Scone",1684,314,1391,395,290,15,518,1219,5823,
"Scone Region",2045,427,2182,654,422,21,850,1692,8288,
"Dapto - Avondale",6274,1453,6823,2075,1115,82,1224,4418,23460,
"Horsley - Kembla Grange",2768,538,2169,535,224,25,320,2073,8655,
"Port Kembla Industrial",0,0,0,0,0,0,4,0,13,
"Unanderra - Mount Kembla",5564,808,3452,867,683,95,1034,2882,15374,
"Berkeley - Lake Heights - Cringila",3727,780,3256,1002,1131,244,963,2694,13797,
"Port Kembla - Warrawong",2489,551,2198,644,1058,232,804,1767,9751,
"Windang - Primbee",1093,233,1226,437,334,24,370,588,4301,
"Illawarra Catchment Reserve",3,0,0,3,0,0,0,0,7,
"Albion Park - Macquarie Pass",3995,935,4069,956,477,41,697,3160,14331,
"Albion Park Rail",1624,438,2036,630,300,33,570,1284,6918,
"Kiama",3132,430,1825,440,231,9,500,1122,7695,
"Kiama Downs - Minnamurra",2308,338,1358,342,160,3,232,1119,5875,
"Kiama Hinterland - Gerringong",3136,368,1614,417,214,21,678,1356,7812,
"Shellharbour - Flinders",5673,974,4086,925,548,47,772,3810,16831,
"Shellharbour - Oak Flats",2843,625,2911,743,533,61,546,1698,9951,
"Warilla",4884,1215,5632,1883,1310,147,1705,3650,20422,
"Balgownie - Fairy Meadow",8703,1030,4356,1200,1057,155,1134,3561,21201,
"Corrimal - Tarrawanna - Bellambi",5213,825,3715,1161,829,88,889,2699,15421,
"Figtree - Keiraville",9687,912,3788,1017,806,109,812,3955,21083,
"Helensburgh",3444,416,1992,385,154,10,472,1912,8788,
"Thirroul - Austinmer - Coalcliff",5314,512,1960,494,186,11,519,2304,11306,
"Woonona - Bulli - Russell Vale",7398,976,4296,1346,680,54,955,4139,19840,
"Wollongong - East",7328,577,2173,566,462,87,1747,1027,13968,
"Wollongong - West",8429,717,2404,719,779,183,927,2554,16707,
"Bulahdelah - Stroud",1126,237,1417,471,299,17,394,760,4725,
"Forster",3710,841,4112,1483,727,39,1349,2014,14270,
"Forster-Tuncurry Region",1562,346,1801,522,285,9,531,1038,6085,
"Tuncurry",1222,363,1965,814,482,15,714,619,6182,
"Kempsey",2887,775,3655,1364,974,45,2176,2891,14756,
"Kempsey Region",2264,534,2536,842,546,23,873,1397,9024,
"Macksville - Scotts Head",1188,241,1349,457,284,14,427,839,4792,
"Nambucca Heads",1643,414,1830,708,423,14,795,920,6752,
"Nambucca Heads Region",2005,466,2123,659,358,21,623,1400,7665,
"South West Rocks",1252,293,1598,534,326,16,440,679,5133,
"Lord Howe Island",162,28,85,10,7,0,35,51,381,
"Laurieton - Bonny Hills",4439,1051,4967,1670,756,24,1456,2382,16743,
"Port Macquarie - East",9927,1789,6769,1803,917,48,1888,4907,28050,
"Port Macquarie - West",4920,1105,4536,1506,938,50,1600,2673,17326,
"Port Macquarie Region",1527,333,1376,409,257,12,515,876,5293,
"Wauchope",2802,680,2985,933,526,27,926,2266,11150,
"Gloucester",1202,252,1445,522,350,8,432,814,5033,
"Old Bar - Manning Point - Red Head",3144,623,3036,849,398,9,714,1767,10531,
"Taree",4717,1154,5592,2017,1378,67,1877,3680,20478,
"Taree Region",3052,647,3773,1261,695,18,1215,1779,12444,
"Wingham",1166,316,1626,556,347,11,418,944,5374,
"Albury - East",5860,1288,2682,814,417,40,725,3215,15047,
"Albury - North",2865,871,2213,689,472,60,821,1844,9845,
"Albury - South",4127,904,1699,517,347,37,1067,1611,10302,
"Albury Region",3173,930,2727,853,522,17,833,2558,11611,
"Lavington",3756,1222,3528,1211,821,149,1199,2580,14473,
"Hay",781,226,632,230,209,9,367,518,2970,
"Wentworth - Buronga",1403,726,1110,483,410,18,659,1149,5965,
"Wentworth-Balranald Region",815,362,696,287,278,17,457,694,3611,
"Corowa",1342,639,1279,436,331,12,534,890,5482,
"Corowa Region",1704,737,1474,528,393,12,687,1198,6742,
"Deniliquin",1901,646,1638,650,437,34,843,1275,7434,
"Deniliquin Region",1742,818,1335,557,394,22,681,1199,6751,
"Moama",1630,830,996,508,372,11,478,1020,5845,
"Tocumwal - Finley - Jerilderie",2389,1023,2074,817,627,25,1084,1682,9728,
"Armidale",10502,1117,3737,1228,785,54,1798,4126,23348,
"Armidale Region - North",1377,230,1016,299,255,18,374,924,4490,
"Armidale Region - South",2062,295,1411,365,253,10,483,1140,6023,
"Walcha",905,158,772,274,164,8,377,566,3226,
"Glen Innes",2116,436,2316,733,618,23,1076,1508,8832,
"Inverell",2966,628,2973,1000,712,27,975,2368,11660,
"Inverell Region - East",1133,307,1344,436,402,19,608,995,5235,
"Inverell Region - West",1407,288,1554,493,428,13,683,1128,5987,
"Tenterfield",1665,396,1753,561,397,23,798,1036,6624,
"Moree",2110,457,1785,598,433,43,1052,1724,8203,
"Moree Region",1462,326,1134,359,270,17,608,1279,5451,
"Narrabri",1854,438,1681,569,373,18,722,1513,7170,
"Narrabri Region",1211,242,1136,312,251,15,574,1060,4797,
"Gunnedah",2286,535,2378,683,519,30,815,1953,9191,
"Gunnedah Region",1013,200,1124,351,235,8,411,797,4133,
"Quirindi",1789,441,2064,662,457,20,809,1442,7684,
"Tamworth - East",5826,1242,5225,1531,884,67,1574,4022,20372,
"Tamworth - North",5103,765,3393,975,636,66,1284,2856,15077,
"Tamworth - West",1048,284,1347,463,310,22,553,1535,5563,
"Tamworth Region",4887,985,4876,1495,933,36,1596,3660,18472,
"Belmont - Bennetts Green",5180,1054,5036,1530,690,31,985,3229,17724,
"Belmont South - Blacksmiths",1379,341,1837,583,256,10,353,847,5604,
"Charlestown - Dudley",8693,1221,5700,1670,862,76,1163,4580,23965,
"Glendale - Cardiff - Hillsborough",8065,1250,5776,1774,817,52,1119,4540,23387,
"Mount Hutton - Windale",2061,563,2271,1033,505,24,695,1749,8901,
"Redhead",1238,151,824,290,132,3,220,652,3517,
"Swansea - Caves Beach",3211,654,3492,1082,531,28,719,1838,11546,
"Valentine - Eleebana",4812,617,2879,755,251,7,430,2246,11994,
"Warners Bay - Boolaroo",4593,714,3487,1080,494,36,673,2286,13371,
"Bolton Point - Teralba",2227,533,2453,813,393,17,629,1461,8523,
"Bonnells Bay - Silverwater",2608,546,2506,670,336,10,419,1628,8719,
"Edgeworth - Cameron Park",4063,797,3692,1107,513,25,666,3339,14200,
"Morisset - Cooranbong",4348,877,4020,1318,728,60,1242,2366,14963,
"Toronto - Awaba",4170,830,3530,1237,562,39,922,2138,13425,
"Wangi Wangi - Rathmines",2887,561,2541,752,323,11,379,1441,8897,
"West Wallsend - Barnsley - Killingworth",1419,415,2127,648,269,14,272,1313,6481,
"Adamstown - Kotara",6666,753,3148,888,440,45,554,3105,15600,
"Beresfield - Hexham",1815,474,2502,980,478,16,539,1548,8358,
"Hamilton - Broadmeadow",5373,523,2164,613,500,60,803,1813,11847,
"Lambton - New Lambton",6924,809,3329,935,515,46,698,3260,16526,
"Maryland - Fletcher - Minmi",4540,793,3290,850,357,35,415,3291,13570,
"Mayfield - Warabrook",5977,784,3194,891,629,80,1049,2259,14873,
"Merewether - The Junction",6945,616,2180,568,250,44,648,2366,13622,
"Newcastle - Cooks Hill",6294,487,1448,373,165,27,922,1036,10757,
"Newcastle Port - Kooragang",3,0,9,0,0,0,0,5,16,
"Shortland - Jesmond",5596,427,1905,759,458,82,727,1587,11544,
"Stockton - Fullerton Cove",2100,387,2019,689,297,11,940,1052,7495,
"Wallsend - Elermore Vale",6580,1043,4768,1749,861,81,1204,3351,19628,
"Waratah - North Lambton",4935,593,2441,758,381,45,1022,1883,12059,
"Wickham - Carrington - Tighes Hill",3864,378,1390,375,233,26,532,1199,8003,
