Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HOSD Housing Suitability"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2",
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",0,3,4,55,341,770,1013,363,76,94,97,191,3003,
"Orange",4,7,33,178,1292,2524,2464,707,110,222,285,648,8478,
"Orange - North",0,7,20,125,876,2033,2447,1184,128,277,146,341,7587,
"Orange Region",0,5,10,76,541,1091,1330,724,157,151,97,290,4474,
"Grafton",5,8,37,204,1278,2407,2413,738,95,239,219,507,8148,
"Grafton Region",3,13,37,244,953,1599,1947,753,149,225,151,606,6683,
"Maclean - Yamba - Iluka",0,10,37,143,966,2125,2531,858,104,174,205,1131,8284,
"Bellingen",9,7,26,70,441,660,674,236,44,112,61,179,2518,
"Coffs Harbour - North",0,21,55,249,1230,2318,2075,720,112,249,205,619,7840,
"Coffs Harbour - South",3,14,28,151,848,1374,1123,333,42,122,129,349,4520,
"Coramba - Nana Glen - Bucca",0,7,10,59,233,388,391,164,44,88,36,111,1524,
"Dorrigo",0,0,4,38,228,431,425,142,24,39,36,129,1508,
"Korora - Emerald Beach",0,0,7,61,410,880,1104,593,116,132,61,285,3652,
"Sawtell - Boambee",3,13,40,198,1259,2520,2450,901,117,278,184,411,8372,
"Urunga",0,8,8,45,355,578,655,231,44,63,59,211,2248,
"Woolgoolga - Arrawarra",8,15,42,191,792,1524,1443,565,85,185,182,690,5724,
"Bourke - Brewarrina",3,22,25,73,251,349,392,133,38,77,82,386,1829,
"Cobar",0,3,7,41,230,501,587,228,26,58,63,323,2062,
"Coonamble",0,6,9,58,212,410,432,216,48,89,63,322,1863,
"Nyngan - Warren",0,0,5,58,231,541,633,250,41,107,72,252,2186,
"Walgett - Lightning Ridge",5,8,42,109,597,718,570,214,50,141,139,644,3228,
"Broken Hill",6,10,35,173,1120,2451,2729,466,74,310,251,603,8232,
"Far West",0,11,13,38,146,241,211,109,50,39,50,252,1166,
"Coonabarabran",0,0,10,63,451,886,1101,392,86,125,100,376,3609,
"Dubbo - East",9,4,25,111,585,1151,1061,595,85,153,98,277,4150,
"Dubbo - South",6,8,33,160,1045,2138,1995,878,80,248,167,482,7234,
"Dubbo - West",0,9,27,124,394,1038,1007,488,36,125,83,334,3670,
"Dubbo Region",0,0,4,40,195,506,646,354,83,98,40,176,2156,
"Gilgandra",0,0,8,43,262,473,547,257,43,62,44,148,1887,
"Narromine",0,0,16,74,340,670,823,348,55,106,84,245,2758,
"Wellington",0,6,18,89,472,934,959,389,71,122,104,338,3513,
"Branxton - Greta - Pokolbin",0,0,7,94,464,1013,1316,521,94,131,86,237,3965,
"Cessnock",8,12,49,304,1599,2783,2481,557,67,256,250,487,8854,
"Cessnock Region",0,3,34,96,433,839,823,346,63,114,59,318,3134,
"Dungog",0,0,11,109,500,999,1150,456,85,108,60,241,3723,
"Kurri Kurri - Abermain",0,9,79,291,1264,2283,1999,510,65,210,180,310,7204,
"Singleton",0,6,32,136,743,1841,1955,813,89,235,118,355,6304,
"Singleton Region",0,0,12,44,186,444,563,256,47,63,28,256,1903,
"Maitland",0,0,10,72,406,791,696,339,42,93,64,200,2709,
"Maitland - East",0,9,38,225,1673,3356,3557,1224,130,382,212,428,11240,
"Maitland - North",0,0,4,40,253,718,985,509,64,95,42,100,2809,
"Maitland - West",5,7,39,204,1174,2639,2726,1102,114,329,267,331,8936,
"Thornton - Millers Forest",0,0,17,62,376,921,1251,678,62,172,35,67,3638,
"Anna Bay",0,9,8,55,279,678,695,253,57,100,57,228,2414,
"Lemon Tree Passage - Tanilba Bay",0,0,5,43,355,771,1044,373,35,66,69,172,2947,
"Nelson Bay Peninsula",3,0,18,155,1039,2514,3036,1281,195,267,209,774,9490,
"Raymond Terrace",0,3,48,183,928,1706,1623,506,53,200,258,446,5943,
"Seaham - Woodville",0,0,0,37,191,502,601,366,68,96,26,54,1939,
"Tea Gardens - Hawks Nest",0,3,5,36,179,604,860,437,40,48,67,214,2498,
"Williamtown - Medowie - Karuah",0,0,26,87,604,1373,1519,842,94,198,112,320,5181,
"Muswellbrook",0,7,15,77,624,1393,1582,678,67,147,120,321,5026,
"Muswellbrook Region",0,0,12,30,186,389,498,202,43,49,50,139,1600,
"Scone",0,0,0,30,286,730,744,344,37,75,59,177,2475,
"Scone Region",8,4,13,67,427,874,1067,421,89,110,82,351,3496,
"Dapto - Avondale",3,0,50,291,1428,2846,3139,870,108,305,241,255,9519,
"Horsley - Kembla Grange",0,3,3,69,367,802,997,479,55,119,40,56,2996,
"Port Kembla Industrial",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Unanderra - Mount Kembla",0,0,40,154,868,1675,1742,607,110,238,106,188,5734,
"Berkeley - Lake Heights - Cringila",7,8,65,300,1039,1672,1498,334,53,168,174,215,5538,
"Port Kembla - Warrawong",0,8,56,194,962,1328,945,197,22,128,129,255,4224,
"Windang - Primbee",0,5,16,61,493,702,459,111,10,38,74,106,2058,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,0,0,4,
"Albion Park - Macquarie Pass",0,4,20,108,685,1539,1604,636,78,214,72,146,5106,
"Albion Park Rail",3,0,11,110,472,878,847,161,28,96,67,126,2799,
"Kiama",0,0,13,48,457,956,1062,409,91,93,59,223,3406,
"Kiama Downs - Minnamurra",0,0,8,35,225,613,753,372,46,118,21,83,2271,
"Kiama Hinterland - Gerringong",0,3,12,39,332,768,958,396,96,151,48,281,3092,
"Shellharbour - Flinders",3,0,20,117,793,1694,1915,882,82,272,89,243,6117,
"Shellharbour - Oak Flats",0,3,31,124,642,1187,1219,408,46,141,87,159,4048,
"Warilla",4,17,52,319,1538,2702,2525,531,75,270,239,439,8714,
"Balgownie - Fairy Meadow",3,15,41,304,1771,2782,2195,656,138,292,204,325,8727,
"Corrimal - Tarrawanna - Bellambi",0,0,33,208,1400,2396,1721,356,44,227,153,277,6812,
"Figtree - Keiraville",5,8,46,250,1406,2262,2411,804,154,326,150,268,8081,
"Helensburgh",3,0,11,67,470,1008,881,286,43,153,41,108,3071,
"Thirroul - Austinmer - Coalcliff",0,0,6,89,688,1385,1220,411,89,209,71,171,4335,
"Woonona - Bulli - Russell Vale",6,0,28,209,1325,2669,2129,632,77,301,157,288,7814,
"Wollongong - East",3,4,50,259,1838,2522,1059,81,27,225,276,893,7237,
"Wollongong - West",0,18,70,375,1924,2279,1221,312,53,297,186,381,7108,
"Bulahdelah - Stroud",0,7,7,64,301,547,636,207,35,62,60,150,2067,
"Forster",0,9,19,144,860,1826,2217,791,96,153,206,496,6819,
"Forster-Tuncurry Region",0,8,5,55,364,648,866,342,69,88,77,259,2782,
"Tuncurry",0,0,7,68,465,1009,960,217,28,50,115,330,3247,
"Kempsey",0,14,64,225,1082,1655,1566,476,49,160,188,497,5983,
"Kempsey Region",9,14,33,126,682,1142,1116,333,55,134,104,436,4180,
"Macksville - Scotts Head",0,4,5,60,318,551,667,229,31,55,59,156,2140,
"Nambucca Heads",4,3,21,70,617,1136,846,229,41,75,98,364,3508,
"Nambucca Heads Region",0,3,31,96,524,919,979,347,28,107,79,226,3330,
"South West Rocks",0,0,3,47,258,694,891,284,36,56,48,297,2622,
"Lord Howe Island",0,0,0,4,28,44,37,16,0,7,3,34,180,
"Laurieton - Bonny Hills",0,9,30,132,965,2233,2404,957,111,194,202,477,7706,
"Port Macquarie - East",4,0,41,215,1638,3732,3865,1416,218,348,280,767,12511,
"Port Macquarie - West",0,5,20,150,1332,2568,2423,668,70,169,232,597,8228,
"Port Macquarie Region",0,10,12,56,307,527,660,249,53,71,57,198,2201,
"Wauchope",0,4,40,128,592,1264,1407,589,72,126,87,221,4542,
"Gloucester",0,0,4,45,284,549,802,274,38,63,57,162,2285,
"Old Bar - Manning Point - Red Head",0,4,14,60,529,1238,1501,735,120,140,85,214,4641,
"Taree",0,8,62,240,1509,2618,2688,824,133,251,272,504,9108,
"Taree Region",0,5,30,135,781,1296,1752,741,116,155,124,467,5599,
"Wingham",4,0,17,64,342,674,758,215,31,76,60,95,2324,
"Albury - East",3,0,16,60,658,1833,1860,766,64,206,100,284,5854,
"Albury - North",0,4,10,99,618,1294,1322,325,42,163,103,319,4291,
"Albury - South",0,3,14,91,708,1585,1190,454,80,144,105,422,4795,
