Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by CHCAREP Unpaid Child Care"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CHCAREP Unpaid Child Care","Did not provide child care","Cared for own child/children","Cared for other child/children","Cared for own child/children and other child/children","Not stated","Not applicable","Total",
"SA2 (UR)",
"Gilgandra",2255,617,270,22,391,821,4376,
"Narromine",3063,936,415,47,661,1414,6537,
"Wellington",4033,1052,485,51,1594,1606,8831,
"Branxton - Greta - Pokolbin",4453,1916,731,66,653,2297,10124,
"Cessnock",10303,3312,1629,160,2232,4366,21995,
"Cessnock Region",3760,1230,580,60,757,1538,7926,
"Dungog",4503,1361,676,52,724,1662,8976,
"Kurri Kurri - Abermain",8355,2862,1429,143,1245,3605,17639,
"Singleton",7672,2937,1004,120,908,3449,16094,
"Singleton Region",2146,810,352,30,572,1015,4922,
"Maitland",3113,1192,397,68,458,1374,6601,
"Maitland - East",13218,4797,2037,243,1460,5661,27416,
"Maitland - North",3409,1474,585,60,360,1726,7611,
"Maitland - West",10128,4311,1464,218,1213,5196,22525,
"Thornton - Millers Forest",4474,2068,760,94,327,2292,10003,
"Anna Bay",2981,844,400,46,520,938,5726,
"Lemon Tree Passage - Tanilba Bay",3624,893,419,51,512,1186,6685,
"Nelson Bay Peninsula",12009,2662,1422,127,1651,3154,21015,
"Raymond Terrace",6623,2166,969,123,1086,2852,13825,
"Seaham - Woodville",2599,931,476,37,286,1090,5412,
"Tea Gardens - Hawks Nest",3364,442,356,12,377,485,5038,
"Williamtown - Medowie - Karuah",6398,2305,921,103,1080,2854,13673,
"Muswellbrook",5379,2154,696,76,1002,2765,12072,
"Muswellbrook Region",1867,719,202,28,338,862,4013,
"Scone",2821,975,320,34,458,1219,5823,
"Scone Region",4000,1303,467,44,787,1692,8288,
"Dapto - Avondale",11929,3793,1983,193,1146,4418,23460,
"Horsley - Kembla Grange",3800,1826,635,97,225,2073,8655,
"Port Kembla Industrial",7,0,0,0,4,0,13,
"Unanderra - Mount Kembla",7717,2527,1214,108,927,2882,15374,
"Berkeley - Lake Heights - Cringila",7253,2022,895,75,869,2694,13797,
"Port Kembla - Warrawong",5366,1264,625,62,673,1767,9751,
"Windang - Primbee",2504,555,290,22,332,588,4301,
"Illawarra Catchment Reserve",7,0,0,0,0,0,7,
"Albion Park - Macquarie Pass",6467,2870,1135,133,578,3160,14331,
"Albion Park Rail",3393,1048,577,52,566,1284,6918,
"Kiama",4249,1094,664,51,517,1122,7695,
"Kiama Downs - Minnamurra",2961,992,498,54,249,1119,5875,
"Kiama Hinterland - Gerringong",4029,1093,639,69,631,1356,7812,
"Shellharbour - Flinders",7506,3371,1216,160,768,3810,16831,
"Shellharbour - Oak Flats",5281,1542,840,65,519,1698,9951,
"Warilla",10574,2863,1587,141,1603,3650,20422,
"Balgownie - Fairy Meadow",11673,3269,1507,133,1063,3561,21201,
"Corrimal - Tarrawanna - Bellambi",8317,2373,1079,112,833,2699,15421,
"Figtree - Keiraville",11009,3566,1559,165,830,3955,21083,
"Helensburgh",3985,1826,590,100,366,1912,8788,
"Thirroul - Austinmer - Coalcliff",5355,2157,877,95,524,2304,11306,
"Woonona - Bulli - Russell Vale",9444,3684,1463,204,897,4139,19840,
"Wollongong - East",9240,1091,906,27,1682,1027,13968,
"Wollongong - West",9833,2401,942,89,884,2554,16707,
"Bulahdelah - Stroud",2602,678,313,18,356,760,4725,
"Forster",8544,1591,815,62,1241,2014,14270,
"Forster-Tuncurry Region",3363,819,339,30,501,1038,6085,
"Tuncurry",4126,513,287,17,625,619,6182,
"Kempsey",7020,1821,856,88,2081,2891,14756,
"Kempsey Region",5049,1117,536,47,876,1397,9024,
"Macksville - Scotts Head",2616,627,266,19,429,839,4792,
"Nambucca Heads",4061,665,354,35,705,920,6752,
"Nambucca Heads Region",4101,1065,450,37,609,1400,7665,
"South West Rocks",3253,545,233,23,399,679,5133,
"Lord Howe Island",209,52,22,5,33,51,381,
"Laurieton - Bonny Hills",9905,2007,1011,85,1358,2382,16743,
"Port Macquarie - East",15319,4352,1630,183,1657,4907,28050,
"Port Macquarie - West",9981,2247,890,116,1422,2673,17326,
"Port Macquarie Region",2816,713,320,30,544,876,5293,
"Wauchope",5655,1655,703,77,793,2266,11150,
"Gloucester",2865,603,325,33,397,814,5033,
"Old Bar - Manning Point - Red Head",5879,1415,684,90,702,1767,10531,
"Taree",11172,2645,1211,110,1660,3680,20478,
"Taree Region",7283,1424,769,53,1136,1779,12444,
"Wingham",2964,688,341,38,404,944,5374,
"Albury - East",7229,2777,899,139,784,3215,15047,
"Albury - North",5038,1456,612,75,810,1844,9845,
"Albury - South",5657,1417,590,51,975,1611,10302,
"Albury Region",5491,1915,745,77,822,2558,11611,
"Lavington",7566,2064,993,93,1168,2580,14473,
"Hay",1536,383,152,19,369,518,2970,
"Wentworth - Buronga",2976,823,399,26,594,1149,5965,
"Wentworth-Balranald Region",1710,516,206,18,463,694,3611,
"Corowa",2963,714,373,29,510,890,5482,
"Corowa Region",3516,905,400,43,680,1198,6742,
"Deniliquin",3937,997,465,29,736,1275,7434,
"Deniliquin Region",3527,893,431,38,662,1199,6751,
"Moama",3129,885,322,34,461,1020,5845,
"Tocumwal - Finley - Jerilderie",5173,1213,531,58,1073,1682,9728,
"Armidale",12926,3175,1203,127,1794,4126,23348,
"Armidale Region - North",2252,714,220,19,360,924,4490,
"Armidale Region - South",3120,930,357,31,438,1140,6023,
"Walcha",1645,466,170,17,368,566,3226,
"Glen Innes",4647,1083,467,65,1067,1508,8832,
"Inverell",5952,1688,701,82,869,2368,11660,
"Inverell Region - East",2592,697,314,25,613,995,5235,
"Inverell Region - West",3068,837,294,22,635,1128,5987,
"Tenterfield",3703,746,347,26,767,1036,6624,
"Moree",3834,1132,475,57,989,1724,8203,
"Moree Region",2473,827,259,33,580,1279,5451,
"Narrabri",3393,1050,459,49,707,1513,7170,
"Narrabri Region",2162,728,263,32,558,1060,4797,
"Gunnedah",4412,1493,526,69,743,1953,9191,
