Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Blue Haven - San Remo",22,0,3,10,10,12,24,30,21,47,61,139,130,203,132,176,68,145,3,0,0,0,0,28,3001,4271,
"Budgewoi - Buff Point - Halekulani",25,4,0,15,16,39,31,59,38,73,74,146,85,156,59,64,29,49,9,0,3,0,0,27,3218,4220,
"Chittaway Bay - Tumbi Umbi",19,3,0,19,12,26,7,41,12,49,32,74,72,125,82,156,56,194,32,12,9,4,0,36,4846,5926,
"Gorokan - Kanwal - Charmhaven",45,23,11,87,26,110,97,159,90,209,152,397,229,382,202,165,58,140,34,12,0,9,0,97,6681,9407,
"Jilliby - Yarramalong",21,0,0,3,0,6,0,10,0,10,0,16,9,11,0,6,0,10,9,5,0,4,0,5,1087,1213,
"Lake Munmorah - Mannering Park",27,0,0,14,21,49,24,26,13,55,57,112,67,113,64,59,18,50,14,0,0,0,3,23,3975,4782,
"Ourimbah - Fountaindale",14,3,0,9,3,4,4,24,9,12,15,64,39,50,34,34,18,40,13,7,0,0,0,4,1480,1872,
"Summerland Point - Gwandalan",12,0,0,6,0,4,7,16,9,33,39,56,44,73,32,40,28,49,7,0,0,0,0,24,1931,2411,
"The Entrance",58,13,24,127,26,96,74,153,104,221,213,379,238,402,217,237,77,250,71,21,10,0,11,75,4210,7304,
"Toukley - Norah Head",33,9,11,52,19,48,53,92,45,104,114,193,132,137,82,77,29,76,29,5,0,0,3,22,3072,4454,
"Tuggerah - Kangy Angy",12,0,0,0,0,7,7,17,7,11,15,34,45,108,62,88,21,124,26,5,0,0,0,11,1423,2017,
"Warnervale - Wadalba",17,0,6,7,14,57,32,30,28,30,9,50,24,45,80,142,143,699,77,8,0,0,3,39,3787,5329,
"Wyong",6,21,17,107,40,85,49,84,29,67,63,166,116,171,92,105,33,93,15,7,5,0,0,51,2318,3736,
"Bathurst",54,47,24,152,74,175,159,282,213,468,362,491,233,281,134,137,51,79,10,0,0,0,0,101,6309,9830,
"Bathurst - East",28,3,17,48,33,55,44,68,18,69,51,102,57,126,89,114,40,26,0,0,0,0,3,40,3083,4112,
"Bathurst Region",52,13,10,27,9,17,9,37,11,26,17,16,9,17,10,8,3,4,5,0,0,0,0,17,2386,2699,
"Oberon",48,10,16,27,26,31,18,49,28,75,23,29,17,10,6,7,0,0,0,0,0,0,3,21,1533,1984,
"Condobolin",97,70,25,74,47,148,65,70,33,52,8,18,0,3,0,0,0,3,0,3,0,0,0,47,2061,2823,
