Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA2 (UR)",
"Mudgee Region - West",100,83,602,546,1736,2458,6,1049,267,1468,2035,10362,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",110,88,547,425,1194,1792,3,657,208,736,1507,7273,
"Orange",427,242,1764,1199,2648,4682,32,1941,552,2052,3473,19010,
"Orange - North",512,314,2010,1359,3123,4415,21,1322,527,1362,4764,19729,
"Orange Region",269,134,1097,825,1814,2677,11,889,320,1024,2545,11607,
"Grafton",170,156,1061,982,2967,4982,41,2056,524,2243,3478,18673,
"Grafton Region",182,144,849,912,2767,4000,20,1669,483,1776,2510,15313,
"Maclean - Yamba - Iluka",221,190,1189,1086,2877,4384,18,1630,549,1889,2240,16283,
"Bellingen",195,124,788,508,791,1169,8,326,159,508,1234,5803,
"Coffs Harbour - North",247,172,1391,1297,2725,4563,33,1555,538,1727,3204,17464,
"Coffs Harbour - South",191,106,942,721,1501,2520,21,871,341,1478,1605,10294,
"Coramba - Nana Glen - Bucca",79,52,314,298,720,873,8,244,105,384,749,3816,
"Dorrigo",41,51,254,191,506,855,5,365,86,372,512,3245,
"Korora - Emerald Beach",235,159,1098,791,1481,1896,10,420,253,596,1792,8740,
"Sawtell - Boambee",324,273,1738,1405,3247,4956,44,1711,603,1545,3636,19474,
"Urunga",84,65,431,330,837,1155,12,468,129,515,648,4667,
"Woolgoolga - Arrawarra",169,167,1108,900,1927,3301,9,1048,406,1251,2241,12521,
"Bourke - Brewarrina",39,16,222,200,355,942,14,462,82,735,932,4000,
"Cobar",51,33,250,175,750,1193,5,450,83,637,1031,4657,
"Coonamble",26,18,223,171,460,1051,9,490,84,716,856,4113,
"Nyngan - Warren",37,34,295,222,624,1404,0,541,119,681,1005,4971,
"Walgett - Lightning Ridge",52,37,350,309,677,1765,11,811,147,963,1287,6413,
"Broken Hill",193,177,894,804,2878,4662,35,2452,390,2281,2944,17709,
"Far West",15,15,91,108,268,668,0,318,52,491,475,2507,
"Coonabarabran",86,65,481,388,1102,2183,14,954,200,1066,1406,7950,
"Dubbo - East",186,145,825,550,1719,2707,10,890,230,934,2174,10379,
"Dubbo - South",358,238,1718,1021,2713,4212,16,1288,415,1493,3466,16942,
"Dubbo - West",128,74,624,508,1301,2274,13,749,233,854,2015,8769,
"Dubbo Region",65,63,500,349,987,1314,4,403,147,599,1190,5626,
"Gilgandra",31,22,247,199,637,1188,12,580,104,535,821,4376,
"Narromine",41,40,404,335,930,1763,13,684,144,773,1414,6537,
"Wellington",63,55,399,437,1185,2065,14,949,192,1861,1606,8831,
"Branxton - Greta - Pokolbin",134,93,687,655,1986,2362,12,836,250,814,2297,10124,
"Cessnock",125,114,830,1010,3845,5783,38,2558,500,2829,4366,21995,
"Cessnock Region",148,93,558,516,1429,1817,7,657,215,940,1538,7926,
"Dungog",134,96,647,660,1604,2142,3,893,223,903,1662,8976,
"Kurri Kurri - Abermain",88,73,582,783,3404,4840,31,2269,402,1570,3605,17639,
"Singleton",193,127,990,866,3149,4287,16,1458,394,1161,3449,16094,
"Singleton Region",57,33,299,277,932,1129,4,400,117,666,1015,4922,
"Maitland",118,63,495,426,1146,1600,10,614,163,589,1374,6601,
"Maitland - East",525,323,2280,2030,4677,6889,33,2407,703,1893,5661,27416,
"Maitland - North",215,125,897,624,1265,1677,3,452,187,436,1726,7611,
"Maitland - West",240,156,1204,1299,4327,5942,31,1987,479,1666,5196,22525,
"Thornton - Millers Forest",144,113,679,731,1986,2647,5,777,252,385,2292,10003,
"Anna Bay",73,73,425,422,1154,1391,6,464,158,628,938,5726,
"Lemon Tree Passage - Tanilba Bay",59,52,305,459,1316,1742,15,668,210,682,1186,6685,
"Nelson Bay Peninsula",452,239,1728,1817,3751,5238,21,1513,790,2322,3154,21015,
"Raymond Terrace",106,69,583,700,2437,3905,14,1548,320,1284,2852,13825,
"Seaham - Woodville",115,61,499,417,1069,1278,0,367,154,368,1090,5412,
"Tea Gardens - Hawks Nest",91,64,392,440,941,1357,5,501,230,525,485,5038,
"Williamtown - Medowie - Karuah",166,109,815,1036,2686,3305,16,1045,346,1295,2854,13673,
"Muswellbrook",118,72,566,535,2095,3257,26,1179,234,1217,2765,12072,
"Muswellbrook Region",17,27,184,226,740,1031,3,407,94,433,862,4013,
"Scone",75,52,443,341,971,1399,4,532,132,651,1219,5823,
"Scone Region",67,46,474,449,1373,2089,7,846,205,1040,1692,8288,
"Dapto - Avondale",293,201,1281,1493,4446,6568,17,2372,701,1674,4418,23460,
"Horsley - Kembla Grange",181,92,632,719,1603,2100,8,577,245,439,2073,8655,
"Port Kembla Industrial",0,0,0,0,0,4,0,0,0,4,0,13,
"Unanderra - Mount Kembla",492,235,1616,1145,2424,3610,11,1204,509,1256,2882,15374,
"Berkeley - Lake Heights - Cringila",146,72,651,789,2083,3818,9,1744,549,1246,2694,13797,
"Port Kembla - Warrawong",137,56,482,518,1367,2520,15,1430,457,1011,1767,9751,
"Windang - Primbee",70,38,222,277,764,1138,9,582,137,472,588,4301,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,3,0,7,
"Albion Park - Macquarie Pass",184,130,883,1011,2889,3687,11,1057,432,880,3160,14331,
"Albion Park Rail",47,37,291,413,1371,1848,7,673,254,698,1284,6918,
"Kiama",327,177,1024,774,1146,1797,7,440,265,621,1122,7695,
"Kiama Downs - Minnamurra",204,149,775,564,1026,1203,6,329,188,306,1119,5875,
"Kiama Hinterland - Gerringong",313,205,1145,725,1104,1480,5,433,253,790,1356,7812,
"Shellharbour - Flinders",378,204,1512,1365,2924,4065,14,1076,492,998,3810,16831,
"Shellharbour - Oak Flats",142,94,615,758,1885,2744,3,953,339,714,1698,9951,
