Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by STUP Full-Time/Part-Time Student Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STUP Full-Time/Part-Time Student Status","Not attending","Full-time student","Part-time student","Institution (TYPP) stated, full-time/part-time status (STUP) not stated","Both not stated - both institution (TYPP) and full-time/part-time status (STUP) not stated","Total",
"SA2 (UR)",
"Singleton Region",3222,843,213,9,635,4922,
"Maitland",4609,1096,386,8,503,6601,
"Maitland - East",19179,5296,1423,51,1471,27416,
"Maitland - North",5176,1684,408,9,330,7611,
"Maitland - West",15784,4267,1237,36,1201,22525,
"Thornton - Millers Forest",6979,2125,595,13,289,10003,
"Anna Bay",4028,947,251,5,502,5726,
"Lemon Tree Passage - Tanilba Bay",4919,1031,251,16,468,6685,
"Nelson Bay Peninsula",15506,3064,769,31,1651,21015,
"Raymond Terrace",9625,2464,679,15,1042,13825,
"Seaham - Woodville",3683,1172,269,17,272,5412,
"Tea Gardens - Hawks Nest",4080,491,133,9,325,5038,
"Williamtown - Medowie - Karuah",9368,2501,664,28,1115,13673,
"Muswellbrook",8306,2120,607,23,1009,12072,
"Muswellbrook Region",2741,726,192,11,344,4013,
"Scone",4032,1057,286,13,438,5823,
"Scone Region",5687,1363,362,12,868,8288,
"Dapto - Avondale",17126,4159,1084,43,1053,23460,
"Horsley - Kembla Grange",5899,2032,482,3,239,8655,
"Port Kembla Industrial",7,0,0,0,4,13,
"Unanderra - Mount Kembla",10581,3106,798,24,869,15374,
"Berkeley - Lake Heights - Cringila",9835,2501,603,38,825,13797,
"Port Kembla - Warrawong",7002,1589,426,30,711,9751,
"Windang - Primbee",3252,579,155,3,310,4301,
"Illawarra Catchment Reserve",3,0,0,0,3,7,
"Albion Park - Macquarie Pass",9914,3057,815,20,529,14331,
"Albion Park Rail",4861,1142,354,17,539,6918,
"Kiama",5624,1192,399,11,474,7695,
"Kiama Downs - Minnamurra",4256,1070,310,6,236,5875,
"Kiama Hinterland - Gerringong",5389,1369,365,16,664,7812,
"Shellharbour - Flinders",11417,3704,896,31,783,16831,
"Shellharbour - Oak Flats",7286,1711,473,13,462,9951,
"Warilla",14564,3318,935,65,1538,20422,
"Balgownie - Fairy Meadow",14376,4750,1029,32,1012,21201,
"Corrimal - Tarrawanna - Bellambi",11116,2705,800,28,768,15421,
"Figtree - Keiraville",13601,5556,1120,25,777,21083,
"Helensburgh",6084,1768,561,11,363,8788,
"Thirroul - Austinmer - Coalcliff",7793,2410,561,9,528,11306,
"Woonona - Bulli - Russell Vale",13783,4004,1139,21,890,19840,
"Wollongong - East",8895,2743,683,20,1622,13968,
"Wollongong - West",10181,4681,960,20,868,16707,
"Bulahdelah - Stroud",3540,692,163,9,322,4725,
"Forster",10720,1900,489,29,1126,14270,
"Forster-Tuncurry Region",4413,941,239,10,487,6085,
"Tuncurry",4871,554,177,13,567,6182,
"Kempsey",9614,2464,574,32,2078,14756,
"Kempsey Region",6560,1281,303,25,853,9024,
"Macksville - Scotts Head",3441,754,164,18,409,4792,
"Nambucca Heads",5039,828,223,26,631,6752,
"Nambucca Heads Region",5421,1282,324,26,605,7665,
"South West Rocks",3997,612,165,5,358,5133,
"Lord Howe Island",303,35,10,0,40,381,
"Laurieton - Bonny Hills",12633,2347,577,25,1165,16743,
"Port Macquarie - East",20174,4894,1422,35,1527,28050,
"Port Macquarie - West",12713,2544,726,29,1317,17326,
"Port Macquarie Region",3656,831,240,14,554,5293,
"Wauchope",7696,2103,545,16,791,11150,
"Gloucester",3753,693,194,17,368,5033,
"Old Bar - Manning Point - Red Head",7818,1673,428,19,590,10531,
"Taree",14655,3325,831,62,1609,20478,
"Taree Region",9163,1770,431,15,1062,12444,
"Wingham",3926,885,214,13,347,5374,
"Albury - East",10301,3111,877,15,747,15047,
"Albury - North",6851,1675,485,9,827,9845,
"Albury - South",7288,1618,479,12,912,10302,
"Albury Region",7871,2386,522,20,813,11611,
"Lavington",10290,2334,721,27,1099,14473,
"Hay",2065,455,85,5,357,2970,
"Wentworth - Buronga",4129,992,223,17,608,5965,
"Wentworth-Balranald Region",2505,531,128,4,447,3611,
"Corowa",3964,828,223,14,458,5482,
"Corowa Region",4812,1006,236,19,674,6742,
"Deniliquin",5310,1099,294,11,724,7434,
"Deniliquin Region",4833,1006,247,19,648,6751,
"Moama",4310,881,204,11,445,5845,
"Tocumwal - Finley - Jerilderie",6944,1367,360,23,1033,9728,
"Armidale",13947,6300,1297,62,1751,23348,
"Armidale Region - North",3125,785,210,20,351,4490,
"Armidale Region - South",4172,1111,271,8,460,6023,
"Walcha",2276,459,110,11,372,3226,
"Glen Innes",6130,1297,284,22,1092,8832,
"Inverell",8304,1974,490,28,860,11660,
"Inverell Region - East",3545,930,181,9,572,5235,
"Inverell Region - West",4269,879,221,8,608,5987,
"Tenterfield",4661,946,204,7,804,6624,
"Moree",5570,1229,355,33,1015,8203,
"Moree Region",3611,956,190,14,675,5451,
"Narrabri",4949,1156,318,17,724,7170,
"Narrabri Region",3222,805,163,8,599,4797,
"Gunnedah",6449,1502,498,8,734,9191,
"Gunnedah Region",2941,643,164,8,388,4133,
"Quirindi",5443,1195,289,18,746,7684,
"Tamworth - East",14287,3543,1022,36,1479,20372,
"Tamworth - North",10572,2465,802,35,1190,15077,
"Tamworth - West",3614,1154,213,16,571,5563,
"Tamworth Region",12875,3256,791,39,1511,18472,
"Belmont - Bennetts Green",12783,3185,868,30,864,17724,
"Belmont South - Blacksmiths",4220,860,230,8,289,5604,
"Charlestown - Dudley",17294,4304,1267,29,1064,23965,
"Glendale - Cardiff - Hillsborough",16727,4352,1355,34,920,23387,
"Mount Hutton - Windale",6345,1570,413,15,563,8901,
"Redhead",2493,641,170,4,213,3517,
"Swansea - Caves Beach",8629,1760,525,18,616,11546,
"Valentine - Eleebana",8468,2503,615,15,387,11994,
"Warners Bay - Boolaroo",9750,2335,683,15,581,13371,
"Bolton Point - Teralba",6113,1407,394,17,592,8523,
"Bonnells Bay - Silverwater",6401,1522,405,13,374,8719,
"Edgeworth - Cameron Park",9947,2799,774,21,652,14200,
"Morisset - Cooranbong",10933,2532,614,30,838,14963,
"Toronto - Awaba",9901,2165,569,15,780,13425,
"Wangi Wangi - Rathmines",6754,1416,399,9,319,8897,
"West Wallsend - Barnsley - Killingworth",4731,1150,322,11,264,6481,
"Adamstown - Kotara",11011,3204,905,22,459,15600,
"Beresfield - Hexham",6120,1326,379,25,506,8358,
"Hamilton - Broadmeadow",8183,2218,683,11,745,11847,
"Lambton - New Lambton",11431,3442,1002,25,615,16526,
"Maryland - Fletcher - Minmi",9196,3130,814,22,411,13570,
"Mayfield - Warabrook",10454,2536,899,29,953,14873,
"Merewether - The Junction",9387,2735,838,18,641,13622,
"Newcastle - Cooks Hill",7503,1653,683,8,916,10757,
"Newcastle Port - Kooragang",19,0,0,0,0,16,
"Shortland - Jesmond",6029,4382,568,27,538,11544,
"Stockton - Fullerton Cove",5335,939,311,9,905,7495,
"Wallsend - Elermore Vale",14119,3471,1015,33,989,19628,
"Waratah - North Lambton",7859,2483,724,13,984,12059,
"Wickham - Carrington - Tighes Hill",5602,1269,603,9,511,8003,
"Ballina",12673,2157,657,47,1578,17115,
"Ballina Region",11858,2999,810,33,1135,16835,
"Bangalow",3791,989,237,16,627,5670,
"Brunswick Heads - Ocean Shores",5738,1341,372,21,740,8212,
"Byron Bay",6324,1252,418,15,1496,9503,
"Evans Head",3743,775,207,16,479,5219,
"Lennox Head - Skennars Head",5398,1507,418,24,398,7741,
"Mullumbimby",5289,1289,355,13,1042,7994,
"Casino",8613,2148,553,38,882,12231,
"Casino Region",4899,1120,257,18,670,6972,
"Goonellabah",9040,2445,731,22,893,13122,
"Kyogle",5189,1130,280,16,691,7312,
"Lismore",10225,2911,838,23,1289,15282,
"Lismore Region",10348,2697,683,15,1285,15028,
"Kingscliff - Fingal Head",9177,2272,565,30,1107,13150,
"Murwillumbah",6153,1607,401,22,753,8942,
"Murwillumbah Region",6648,1596,387,13,1007,9653,
"Pottsville",9116,2419,631,35,980,13181,
"Tweed Heads",14424,2483,670,43,1803,19418,
"Banora Point",11783,2444,577,22,810,15636,
"Terranora - North Tumblegum",2238,731,148,9,133,3249,
"Tweed Heads South",6215,1041,240,17,633,8146,
"Griffith (NSW)",13198,3166,849,54,1866,19143,
"Griffith Region",8730,2255,547,46,1300,12880,
"Leeton",6724,1999,388,27,943,10086,
"Narrandera",4154,941,237,19,676,6034,
"Tumbarumba",2413,477,105,7,448,3445,
"Tumut",4311,997,281,18,666,6275,
"Tumut Region",3357,762,192,5,393,4715,
"Cootamundra",5554,1141,278,14,574,7566,
"Gundagai",2537,640,130,15,274,3596,
"Junee",3702,894,247,12,1382,6245,
"Temora",4824,1109,286,8,490,6717,
"Wagga Wagga - East",11536,3344,916,33,754,16585,
"Wagga Wagga - North",2501,1394,273,7,230,4404,
"Wagga Wagga - South",14570,4320,1239,56,1088,21266,
"Wagga Wagga - West",8486,2026,621,18,1003,12155,
"Wagga Wagga Region",9884,2907,701,32,1287,14819,
"Berry - Kangaroo Valley",6558,1109,370,12,734,8788,
"Callala Bay - Currarong",2601,570,147,9,287,3611,
"Culburra Beach",3785,558,179,14,425,4962,
"Ettrema - Sassafras - Budawang",34,9,6,0,9,54,
"Huskisson - Vincentia",3237,495,165,3,291,4194,
"North Nowra - Bomaderry",11159,2673,768,42,1117,15759,
"Nowra",13341,3304,931,47,2410,20040,
"St Georges Basin - Erowal Bay",10341,2122,537,31,976,14006,
"Sussex Inlet - Berrara",3536,404,104,8,299,4345,
"Tomerong - Wandandian - Woollamia",2452,565,162,6,217,3405,
"Ulladulla",11340,2110,617,37,1178,15279,
"Ulladulla Region",3761,666,173,15,452,5063,
"Bowral",9592,2053,504,11,783,12948,
"Hill Top - Colo Vale",4175,1174,329,13,343,6026,
"Mittagong",6270,1502,428,25,778,8999,
"Moss Vale - Berrima",6905,1778,461,30,632,9801,
"Robertson - Fitzroy Falls",2398,612,159,17,322,3506,
"Southern Highlands",4798,999,285,13,495,6585,
"Baulkham Hills (East)",16143,4956,1123,26,691,22943,
"Baulkham Hills (West) - Bella Vista",13525,5127,917,27,470,20068,
"Glenhaven",4354,1378,311,5,197,6253,
"West Pennant Hills",8769,2975,598,24,270,12640,
"Castle Hill - Central",5273,1680,403,22,233,7609,
"Castle Hill - East",3618,1134,188,8,651,5594,
"Castle Hill - North",8131,2843,549,17,346,11886,
"Castle Hill - South",6513,2214,492,13,273,9519,
"Castle Hill - West",3444,1410,257,8,122,5239,
"Cherrybrook",12687,4833,794,17,436,18768,
"Kellyville",15421,6054,1092,34,624,23231,
"Dural - Kenthurst - Wisemans Ferry",14383,4591,992,44,1008,21019,
"Galston - Laughtondale",3621,1072,286,3,220,5210,
"Bilpin - Colo - St Albans",1824,378,105,3,378,2691,
"Kurrajong Heights - Ebenezer",15122,4312,1141,25,1301,21898,
"Pitt Town - McGraths Hill",7368,2101,556,19,495,10531,
"Rouse Hill - Beaumont Hills",14572,6151,1230,42,649,22651,
"Blacktown (East) - Kings Park",11952,3175,807,39,946,16920,
"Blacktown (North) - Marayong",12600,3792,826,41,759,18024,
"Doonside - Woodcroft",15407,5172,952,55,946,22526,
"Lalor Park - Kings Langley",17525,4841,1191,45,1270,24874,
"Seven Hills - Toongabbie",16614,4953,1066,45,1237,23920,
"Blacktown (South)",8328,2771,567,21,634,12325,
"Blacktown (West)",11178,3526,674,31,743,16154,
"Glenwood",10435,4640,730,22,300,16128,
"Parklea - Kellyville Ridge",20773,8026,1682,54,2109,32645,
"Riverstone - Marsden Park",11931,3375,845,30,1128,17307,
"Acacia Gardens",2594,918,191,3,89,3796,
"Quakers Hill",15529,5475,1227,29,686,22945,
"Bidwill - Hebersham - Emerton",11970,4083,684,47,1653,18439,
"Glendenning - Dean Park",5625,2040,361,16,301,8354,
"Hassall Grove - Plumpton",13453,5263,948,64,945,20673,
"Lethbridge Park - Tregear",13632,4385,807,90,1796,20705,
"Mount Druitt - Whalan",14619,5560,1023,62,1441,22701,
"Prospect Reservoir",17,4,0,0,21,39,
"Rooty Hill - Minchinbury",14586,4706,913,61,888,21152,
"Banksmeadow",19,0,0,0,6,18,
"Botany",7364,2076,534,19,826,10822,
"Mascot - Eastlakes",16537,5264,1151,56,1407,24407,
"Pagewood - Hillsdale - Daceyville",7622,2394,455,22,885,11374,
"Port Botany Industrial",3,0,0,0,0,11,
"Sydney Airport",23,3,0,0,32,61,
"Marrickville",18716,4351,1505,43,1919,26540,
"Petersham - Stanmore",13977,3205,1258,21,1776,20234,
"Sydenham - Tempe - St Peters",5641,1258,455,8,479,7840,
"Darlinghurst",7880,997,636,6,1803,11317,
"Erskineville - Alexandria",12043,1892,968,9,1325,16236,
