Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by LFSP Labour Force Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"SA2 (UR)",
"Korora - Emerald Beach",2286,1538,191,128,99,2311,385,1792,8740,
"Sawtell - Boambee",4371,3231,403,391,294,6285,870,3636,19474,
"Urunga",917,755,109,85,56,1820,279,648,4667,
"Woolgoolga - Arrawarra",2632,1946,285,242,161,4192,825,2241,12521,
"Bourke - Brewarrina",1013,314,87,80,66,1021,486,932,4000,
"Cobar",1409,452,157,88,40,1051,432,1031,4657,
"Coonamble",988,408,130,101,41,1063,529,856,4113,
"Nyngan - Warren",1420,549,111,97,50,1312,427,1005,4971,
"Walgett - Lightning Ridge",1367,644,154,157,101,2065,632,1287,6413,
"Broken Hill",4230,2175,494,453,216,6075,1116,2944,17709,
"Far West",715,159,70,56,18,720,299,475,2507,
"Coonabarabran",1737,954,177,175,64,2787,645,1406,7950,
"Dubbo - East",3125,1385,281,212,103,2516,592,2174,10379,
"Dubbo - South",5398,2266,378,258,182,4094,902,3466,16942,
"Dubbo - West",2534,1082,203,162,90,2122,570,2015,8769,
"Dubbo Region",1832,789,169,60,46,1138,397,1190,5626,
"Gilgandra",1158,567,118,69,48,1283,303,821,4376,
"Narromine",1729,743,157,143,68,1772,514,1414,6537,
"Wellington",1765,929,188,197,94,3301,752,1606,8831,
"Branxton - Greta - Pokolbin",2944,1539,287,197,94,2250,516,2297,10124,
"Cessnock",4469,2827,492,552,323,7900,1070,4366,21995,
"Cessnock Region",1896,1204,211,145,66,2192,669,1538,7926,
"Dungog",2254,1398,235,146,81,2644,560,1662,8976,
"Kurri Kurri - Abermain",4108,2379,395,508,215,5476,958,3605,17639,
"Singleton",4897,2276,392,316,239,3781,739,3449,16094,
"Singleton Region",1329,701,168,61,46,1099,508,1015,4922,
"Maitland",1867,923,158,159,96,1647,387,1374,6601,
"Maitland - East",7298,4053,612,548,415,7661,1167,5661,27416,
"Maitland - North",2299,1230,174,82,77,1765,254,1726,7611,
"Maitland - West",6094,3216,536,520,343,5696,928,5196,22525,
"Thornton - Millers Forest",3213,1659,243,173,122,2072,229,2292,10003,
"Anna Bay",1318,913,139,93,71,1829,424,938,5726,
"Lemon Tree Passage - Tanilba Bay",1266,858,163,147,75,2621,379,1186,6685,
"Nelson Bay Peninsula",4210,3099,462,338,265,8164,1325,3154,21015,
"Raymond Terrace",3147,1845,278,393,190,4244,875,2852,13825,
"Seaham - Woodville",1611,989,168,66,58,1217,211,1090,5412,
"Tea Gardens - Hawks Nest",753,580,83,71,60,2746,268,485,5038,
"Williamtown - Medowie - Karuah",3681,2003,390,236,142,3497,867,2854,13673,
"Muswellbrook",3151,1419,293,355,166,3334,587,2765,12072,
"Muswellbrook Region",1191,536,137,48,37,937,267,862,4013,
"Scone",1662,834,145,69,48,1490,356,1219,5823,
"Scone Region",2306,1138,216,134,66,2080,663,1692,8288,
"Dapto - Avondale",5835,3268,552,472,331,7750,835,4418,23460,
"Horsley - Kembla Grange",2662,1395,218,102,106,1951,156,2073,8655,
"Port Kembla Industrial",0,0,0,4,0,5,5,0,13,
"Unanderra - Mount Kembla",4235,2442,360,214,243,4255,742,2882,15374,
"Berkeley - Lake Heights - Cringila",2961,1724,318,315,201,4958,628,2694,13797,
"Port Kembla - Warrawong",1819,1044,204,278,145,3945,558,1767,9751,
"Windang - Primbee",939,558,84,80,48,1749,250,588,4301,
"Illawarra Catchment Reserve",3,0,0,0,0,0,0,0,7,
"Albion Park - Macquarie Pass",4211,2312,362,192,216,3461,428,3160,14331,
"Albion Park Rail",1726,1030,148,135,88,2049,453,1284,6918,
"Kiama",1846,1208,175,75,93,2752,421,1122,7695,
"Kiama Downs - Minnamurra",1598,982,165,72,72,1674,196,1119,5875,
"Kiama Hinterland - Gerringong",1923,1351,205,64,54,2336,519,1356,7812,
"Shellharbour - Flinders",4890,2724,423,234,237,3908,594,3810,16831,
"Shellharbour - Oak Flats",2573,1605,261,189,135,3138,353,1698,9951,
"Warilla",4265,2658,426,482,291,7421,1236,3650,20422,
"Balgownie - Fairy Meadow",5152,3338,536,295,412,7085,816,3561,21201,
"Corrimal - Tarrawanna - Bellambi",3915,2306,374,300,217,4995,610,2699,15421,
"Figtree - Keiraville",5346,3445,468,298,442,6488,645,3955,21083,
"Helensburgh",2843,1576,222,86,87,1771,288,1912,8788,
"Thirroul - Austinmer - Coalcliff",3258,1963,280,119,136,2824,420,2304,11306,
"Woonona - Bulli - Russell Vale",5457,3152,457,215,232,5465,717,4139,19840,
"Wollongong - East",3935,2080,298,235,319,4573,1497,1027,13968,
"Wollongong - West",4088,2762,388,334,486,5377,717,2554,16707,
"Bulahdelah - Stroud",1064,687,105,91,47,1698,272,760,4725,
"Forster",2292,1966,317,250,149,6351,936,2014,14270,
"Forster-Tuncurry Region",950,934,143,118,74,2440,387,1038,6085,
"Tuncurry",817,691,133,110,67,3289,463,619,6182,
"Kempsey",2320,1817,334,308,169,5709,1218,2891,14756,
"Kempsey Region",1721,1384,302,173,108,3254,680,1397,9024,
"Macksville - Scotts Head",870,623,112,105,50,1872,317,839,4792,
"Nambucca Heads",896,803,135,149,84,3234,531,920,6752,
