Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SA2 by RA"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"RA","Major Cities of Australia (NSW)","Inner Regional Australia (NSW)","Outer Regional Australia (NSW)","Remote Australia (NSW)","Very Remote Australia (NSW)","Major Cities of Australia (ACT)","Inner Regional Australia (ACT)","Total",
"Dubbo - West",0,3670,0,0,0,0,0,3670,
"Dubbo Region",0,203,1951,0,0,0,0,2156,
"Gilgandra",0,0,1887,0,0,0,0,1887,
"Narromine",0,0,2758,0,0,0,0,2758,
"Wellington",0,0,3513,0,0,0,0,3513,
"Branxton - Greta - Pokolbin",0,3965,0,0,0,0,0,3965,
"Cessnock",77,8778,0,0,0,0,0,8854,
"Cessnock Region",130,3008,0,0,0,0,0,3134,
"Dungog",0,3514,206,0,0,0,0,3723,
"Kurri Kurri - Abermain",6985,218,0,0,0,0,0,7204,
"Singleton",0,6304,0,0,0,0,0,6304,
"Singleton Region",0,1713,187,0,0,0,0,1903,
"Maitland",2709,0,0,0,0,0,0,2709,
"Maitland - East",11240,0,0,0,0,0,0,11240,
"Maitland - North",2627,183,0,0,0,0,0,2809,
"Maitland - West",8285,655,0,0,0,0,0,8936,
"Thornton - Millers Forest",3638,0,0,0,0,0,0,3638,
"Anna Bay",0,2414,0,0,0,0,0,2414,
"Lemon Tree Passage - Tanilba Bay",0,2947,0,0,0,0,0,2947,
"Nelson Bay Peninsula",0,9490,0,0,0,0,0,9490,
"Raymond Terrace",5848,94,0,0,0,0,0,5943,
"Seaham - Woodville",549,1393,0,0,0,0,0,1939,
"Tea Gardens - Hawks Nest",0,2498,0,0,0,0,0,2498,
"Williamtown - Medowie - Karuah",148,5032,0,0,0,0,0,5181,
"Muswellbrook",0,5026,0,0,0,0,0,5026,
"Muswellbrook Region",0,1335,264,0,0,0,0,1600,
"Scone",0,2475,0,0,0,0,0,2475,
"Scone Region",0,990,2506,0,0,0,0,3496,
"Dapto - Avondale",9384,136,0,0,0,0,0,9519,
"Horsley - Kembla Grange",2996,0,0,0,0,0,0,2996,
"Port Kembla Industrial",3,0,0,0,0,0,0,3,
"Unanderra - Mount Kembla",5734,0,0,0,0,0,0,5734,
"Berkeley - Lake Heights - Cringila",5538,0,0,0,0,0,0,5538,
"Port Kembla - Warrawong",4224,0,0,0,0,0,0,4224,
"Windang - Primbee",2058,0,0,0,0,0,0,2058,
"Illawarra Catchment Reserve",0,4,0,0,0,0,0,4,
"Albion Park - Macquarie Pass",4918,186,0,0,0,0,0,5106,
"Albion Park Rail",2799,0,0,0,0,0,0,2799,
"Kiama",0,3406,0,0,0,0,0,3406,
"Kiama Downs - Minnamurra",0,2271,0,0,0,0,0,2271,
"Kiama Hinterland - Gerringong",0,3092,0,0,0,0,0,3092,
"Shellharbour - Flinders",6010,102,0,0,0,0,0,6117,
"Shellharbour - Oak Flats",4048,0,0,0,0,0,0,4048,
"Warilla",8714,0,0,0,0,0,0,8714,
"Balgownie - Fairy Meadow",8727,0,0,0,0,0,0,8727,
"Corrimal - Tarrawanna - Bellambi",6812,0,0,0,0,0,0,6812,
"Figtree - Keiraville",8081,0,0,0,0,0,0,8081,
"Helensburgh",2718,353,0,0,0,0,0,3071,
"Thirroul - Austinmer - Coalcliff",4335,0,0,0,0,0,0,4335,
"Woonona - Bulli - Russell Vale",7814,0,0,0,0,0,0,7814,
"Wollongong - East",7237,0,0,0,0,0,0,7237,
"Wollongong - West",7108,0,0,0,0,0,0,7108,
"Bulahdelah - Stroud",0,1979,96,0,0,0,0,2067,
"Forster",0,6819,0,0,0,0,0,6819,
"Forster-Tuncurry Region",0,2782,0,0,0,0,0,2782,
"Tuncurry",0,3247,0,0,0,0,0,3247,
"Kempsey",0,5983,0,0,0,0,0,5983,
"Kempsey Region",0,233,3943,0,0,0,0,4180,
"Macksville - Scotts Head",0,0,2140,0,0,0,0,2140,
"Nambucca Heads",0,0,3508,0,0,0,0,3508,
"Nambucca Heads Region",0,0,3330,0,0,0,0,3330,
"South West Rocks",0,0,2622,0,0,0,0,2622,
"Lord Howe Island",0,0,0,0,180,0,0,180,
"Laurieton - Bonny Hills",0,7706,0,0,0,0,0,7706,
"Port Macquarie - East",0,12511,0,0,0,0,0,12511,
"Port Macquarie - West",0,8228,0,0,0,0,0,8228,
"Port Macquarie Region",0,1186,1013,0,0,0,0,2201,
"Wauchope",0,4542,0,0,0,0,0,4542,
"Gloucester",0,1709,572,0,0,0,0,2285,
"Old Bar - Manning Point - Red Head",0,4641,0,0,0,0,0,4641,
"Taree",0,9108,0,0,0,0,0,9108,
"Taree Region",0,5305,297,0,0,0,0,5599,
"Wingham",0,2324,0,0,0,0,0,2324,
"Albury - East",0,5854,0,0,0,0,0,5854,
"Albury - North",0,4291,0,0,0,0,0,4291,
"Albury - South",0,4795,0,0,0,0,0,4795,
"Albury Region",0,4248,305,0,0,0,0,4558,
"Lavington",0,6662,0,0,0,0,0,6662,
"Hay",0,0,1086,265,0,0,0,1352,
"Wentworth - Buronga",0,0,2594,0,0,0,0,2594,
"Wentworth-Balranald Region",0,0,1071,547,0,0,0,1614,
"Corowa",0,2482,0,0,0,0,0,2482,
"Corowa Region",0,2397,610,0,0,0,0,3008,
"Deniliquin",0,3422,0,0,0,0,0,3422,
"Deniliquin Region",0,0,2999,0,0,0,0,2999,
"Moama",0,2537,0,0,0,0,0,2537,
"Tocumwal - Finley - Jerilderie",0,2966,1407,0,0,0,0,4376,
"Armidale",0,9153,195,0,0,0,0,9343,
"Armidale Region - North",0,0,1883,0,0,0,0,1883,
"Armidale Region - South",0,1081,1470,0,0,0,0,2549,
"Walcha",0,0,1461,0,0,0,0,1461,
"Glen Innes",0,0,3954,0,0,0,0,3954,
"Inverell",0,0,5108,0,0,0,0,5108,
"Inverell Region - East",0,0,2169,0,0,0,0,2169,
"Inverell Region - West",0,0,2670,0,0,0,0,2670,
"Tenterfield",0,0,3223,0,0,0,0,3223,
"Moree",0,0,3757,0,0,0,0,3757,
"Moree Region",0,0,1582,648,0,0,0,2230,
"Narrabri",0,0,3090,0,0,0,0,3090,
"Narrabri Region",0,0,1692,318,0,0,0,2009,
"Gunnedah",0,0,3924,0,0,0,0,3924,
"Gunnedah Region",0,0,1773,0,0,0,0,1773,
"Quirindi",0,678,2703,0,0,0,0,3372,
"Tamworth - East",0,8714,0,0,0,0,0,8714,
"Tamworth - North",0,6502,0,0,0,0,0,6502,
"Tamworth - West",0,2158,0,0,0,0,0,2158,
"Tamworth Region",0,3112,4563,0,0,0,0,7675,
"Belmont - Bennetts Green",7280,0,0,0,0,0,0,7280,
"Belmont South - Blacksmiths",2617,0,0,0,0,0,0,2617,
"Charlestown - Dudley",9952,0,0,0,0,0,0,9952,
"Glendale - Cardiff - Hillsborough",9434,0,0,0,0,0,0,9434,
"Mount Hutton - Windale",3769,0,0,0,0,0,0,3769,
"Redhead",1449,0,0,0,0,0,0,1449,
"Swansea - Caves Beach",4252,698,0,0,0,0,0,4952,
"Valentine - Eleebana",4595,0,0,0,0,0,0,4595,
"Warners Bay - Boolaroo",5661,0,0,0,0,0,0,5661,
"Bolton Point - Teralba",3542,0,0,0,0,0,0,3542,
"Bonnells Bay - Silverwater",3585,0,0,0,0,0,0,3585,
"Edgeworth - Cameron Park",5231,0,0,0,0,0,0,5231,
"Morisset - Cooranbong",5684,468,0,0,0,0,0,6155,
"Toronto - Awaba",5634,0,0,0,0,0,0,5634,
"Wangi Wangi - Rathmines",3699,0,0,0,0,0,0,3699,
"West Wallsend - Barnsley - Killingworth",2526,0,0,0,0,0,0,2526,
"Adamstown - Kotara",6335,0,0,0,0,0,0,6335,
"Beresfield - Hexham",3574,0,0,0,0,0,0,3574,
"Hamilton - Broadmeadow",5452,0,0,0,0,0,0,5452,
"Lambton - New Lambton",7073,0,0,0,0,0,0,7073,
"Maryland - Fletcher - Minmi",4853,0,0,0,0,0,0,4853,
"Mayfield - Warabrook",6687,0,0,0,0,0,0,6687,
"Merewether - The Junction",5771,0,0,0,0,0,0,5771,
"Newcastle - Cooks Hill",5531,0,0,0,0,0,0,5531,
"Newcastle Port - Kooragang",9,0,0,0,0,0,0,9,
"Shortland - Jesmond",4211,0,0,0,0,0,0,4211,
"Stockton - Fullerton Cove",3244,0,0,0,0,0,0,3244,
"Wallsend - Elermore Vale",8356,0,0,0,0,0,0,8356,
"Waratah - North Lambton",5162,0,0,0,0,0,0,5162,
"Wickham - Carrington - Tighes Hill",3827,0,0,0,0,0,0,3827,
"Ballina",0,8442,0,0,0,0,0,8442,
"Ballina Region",0,7063,0,0,0,0,0,7063,
"Bangalow",0,2394,0,0,0,0,0,2394,
"Brunswick Heads - Ocean Shores",0,3986,0,0,0,0,0,3986,
"Byron Bay",0,4555,0,0,0,0,0,4555,
"Evans Head",0,2663,0,0,0,0,0,2663,
"Lennox Head - Skennars Head",0,3220,0,0,0,0,0,3220,
"Mullumbimby",0,3744,0,0,0,0,0,3744,
"Casino",0,5238,0,0,0,0,0,5238,
"Casino Region",0,2104,813,0,0,0,0,2916,
"Goonellabah",0,5643,0,0,0,0,0,5643,
