Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HIED Equivalised Total Household Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HIED Equivalised Total Household Income (weekly)","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800 - $25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000 or more ($156,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"Toukley - Norah Head",49,38,135,364,718,508,423,399,395,238,148,95,82,21,38,291,195,304,4454,
"Tuggerah - Kangy Angy",19,15,52,118,208,179,188,267,250,165,118,56,76,29,15,156,40,84,2017,
"Warnervale - Wadalba",55,43,132,279,524,493,525,655,698,465,335,217,168,30,45,411,104,151,5329,
"Wyong",60,37,174,337,496,438,358,370,348,194,136,69,65,11,24,296,116,206,3736,
"Bathurst",100,78,374,599,1118,1005,856,1013,1045,713,533,366,342,89,123,655,244,581,9830,
"Bathurst - East",37,31,156,256,421,364,378,450,491,311,234,162,142,34,45,319,98,179,4112,
"Bathurst Region",24,20,88,143,294,246,237,239,287,177,127,103,112,25,41,219,57,249,2699,
"Oberon",23,25,64,121,233,183,181,177,198,124,81,54,52,12,19,162,57,208,1984,
"Condobolin",47,26,154,242,336,261,250,256,207,135,77,54,61,9,55,211,114,323,2823,
"Cowra",38,43,192,359,653,488,429,393,327,188,99,69,55,18,40,233,159,330,4110,
"Cowra Region",25,27,114,211,349,285,256,240,197,94,69,49,63,3,32,169,69,161,2409,
"Forbes",45,48,186,320,558,471,415,418,364,242,139,110,95,20,41,294,192,365,4321,
"Grenfell",18,15,71,150,286,181,146,137,120,67,41,42,26,7,27,95,62,129,1615,
"Parkes (NSW)",54,45,224,367,569,416,407,427,413,282,193,112,119,30,54,351,155,432,4636,
"Parkes Region",23,21,78,126,188,150,122,122,112,66,45,37,42,8,14,107,47,145,1461,
"West Wyalong",35,25,96,202,278,270,213,207,233,132,87,61,68,19,53,186,110,301,2579,
"Lithgow",64,67,332,519,890,588,496,459,422,292,204,154,164,53,61,306,202,375,5646,
"Lithgow Region",48,43,159,255,444,296,255,270,306,218,144,85,104,34,49,253,97,432,3489,
"Mudgee",48,45,178,313,524,501,346,477,448,334,223,211,244,53,113,334,131,481,5005,
"Mudgee Region - East",26,34,89,174,273,170,132,119,95,58,33,20,28,9,21,101,60,177,1630,
"Mudgee Region - West",55,45,215,326,563,424,337,349,343,217,132,139,118,41,58,355,169,579,4455,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",31,25,149,194,339,297,284,303,294,193,131,104,85,28,43,220,97,191,3003,
"Orange",111,91,358,702,1051,830,765,875,774,483,349,270,232,70,125,493,256,648,8478,
"Orange - North",67,63,241,425,642,639,639,805,907,652,484,357,347,109,153,568,158,341,7587,
"Orange Region",52,43,119,235,410,402,361,464,486,346,220,158,189,61,111,403,117,290,4474,
"Grafton",70,68,383,708,1406,1107,822,749,638,351,224,140,117,36,61,508,256,507,8148,
"Grafton Region",76,87,347,608,1024,836,605,595,506,278,169,106,88,22,37,529,155,606,6683,
"Maclean - Yamba - Iluka",93,84,289,690,1396,1044,713,704,519,278,186,133,111,36,85,528,256,1131,8284,
"Bellingen",24,21,119,223,309,330,256,255,237,86,84,57,45,17,26,217,46,179,2518,
"Coffs Harbour - North",80,68,334,598,1043,952,786,791,756,393,252,165,134,43,78,501,251,619,7840,
"Coffs Harbour - South",44,30,186,360,588,564,441,472,420,222,156,111,107,25,41,280,109,349,4520,
"Coramba - Nana Glen - Bucca",18,11,50,105,151,173,160,177,154,91,68,35,28,11,18,148,27,111,1524,
"Dorrigo",27,26,100,167,228,180,139,123,97,51,18,27,19,4,10,119,47,129,1508,
"Korora - Emerald Beach",38,18,84,175,311,380,333,412,379,267,172,137,159,44,87,314,61,285,3652,
"Sawtell - Boambee",71,64,320,597,1173,1036,918,959,790,488,287,219,163,38,59,580,204,411,8372,
"Urunga",10,9,82,164,344,273,202,238,197,113,63,48,55,11,16,141,66,211,2248,
"Woolgoolga - Arrawarra",66,37,201,426,751,681,560,573,487,283,197,96,92,21,38,396,144,690,5724,
"Bourke - Brewarrina",22,20,98,106,165,132,102,124,139,98,55,52,48,5,18,161,102,386,1829,
"Cobar",23,20,71,108,175,145,112,123,190,145,118,98,124,26,49,134,84,323,2062,
"Coonamble",22,21,96,159,212,152,134,157,124,80,53,41,38,3,27,142,86,322,1863,
"Nyngan - Warren",21,18,106,160,227,185,152,174,210,114,88,59,66,15,39,203,92,252,2186,
"Walgett - Lightning Ridge",62,53,215,323,401,271,194,186,182,108,74,50,53,12,31,213,145,644,3228,
"Broken Hill",65,67,441,738,1265,797,640,647,617,428,336,275,248,73,78,563,372,603,8232,
"Far West",25,17,55,86,111,111,69,71,65,44,25,18,36,4,21,100,59,252,1166,
"Coonabarabran",46,46,181,330,599,398,287,276,236,141,80,50,75,11,48,271,157,376,3609,
