Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by BPLP Country of Birth of Person"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"BPLP Country of Birth of Person","COB_overseas","COB_aust","Total",
"Helensburgh",1506,7280,8788,
"Thirroul - Austinmer - Coalcliff",2294,9013,11306,
"Woonona - Bulli - Russell Vale",3763,16075,19840,
"Wollongong - East",5736,8234,13968,
"Wollongong - West",6481,10226,16707,
"Bulahdelah - Stroud",809,3917,4725,
"Forster",2621,11641,14270,
"Forster-Tuncurry Region",1224,4861,6085,
"Tuncurry",1197,4989,6182,
"Kempsey",2362,12393,14756,
"Kempsey Region",1723,7305,9024,
"Macksville - Scotts Head",776,4015,4792,
"Nambucca Heads",1432,5318,6752,
"Nambucca Heads Region",1349,6311,7665,
"South West Rocks",864,4270,5133,
"Lord Howe Island",95,285,381,
"Laurieton - Bonny Hills",2959,13783,16743,
"Port Macquarie - East",5259,22789,28050,
"Port Macquarie - West",3733,13599,17326,
"Port Macquarie Region",1041,4253,5293,
"Wauchope",1689,9461,11150,
"Gloucester",780,4246,5033,
"Old Bar - Manning Point - Red Head",1885,8652,10531,
"Taree",3303,17176,20478,
"Taree Region",2283,10159,12444,
"Wingham",792,4579,5374,
"Albury - East",2234,12812,15047,
"Albury - North",1896,7946,9845,
"Albury - South",2129,8171,10302,
"Albury Region",1593,10013,11611,
"Lavington",3045,11427,14473,
"Hay",603,2371,2970,
"Wentworth - Buronga",967,4999,5965,
"Wentworth-Balranald Region",708,2900,3611,
"Corowa",871,4610,5482,
"Corowa Region",1186,5550,6742,
"Deniliquin",1336,6103,7434,
"Deniliquin Region",1075,5679,6751,
"Moama",969,4878,5845,
"Tocumwal - Finley - Jerilderie",1883,7842,9728,
"Armidale",5111,18243,23348,
"Armidale Region - North",671,3821,4490,
"Armidale Region - South",932,5085,6023,
"Walcha",576,2651,3226,
"Glen Innes",1613,7218,8832,
"Inverell",1659,9999,11660,
"Inverell Region - East",1017,4223,5235,
"Inverell Region - West",907,5076,5987,
"Tenterfield",1361,5268,6624,
"Moree",1614,6590,8203,
"Moree Region",962,4494,5451,
"Narrabri",1148,6017,7170,
"Narrabri Region",865,3928,4797,
"Gunnedah",1288,7905,9191,
"Gunnedah Region",583,3551,4133,
"Quirindi",1186,6502,7684,
"Tamworth - East",2955,17413,20372,
"Tamworth - North",2497,12581,15077,
"Tamworth - West",980,4581,5563,
"Tamworth Region",2713,15760,18472,
"Belmont - Bennetts Green",2212,15512,17724,
"Belmont South - Blacksmiths",683,4927,5604,
"Charlestown - Dudley",3536,20427,23965,
"Glendale - Cardiff - Hillsborough",3203,20188,23387,
"Mount Hutton - Windale",1345,7561,8901,
"Redhead",571,2946,3517,
"Swansea - Caves Beach",1721,9826,11546,
"Valentine - Eleebana",1788,10208,11994,
"Warners Bay - Boolaroo",2093,11271,13371,
"Bolton Point - Teralba",1223,7302,8523,
"Bonnells Bay - Silverwater",1448,7269,8719,
"Edgeworth - Cameron Park",1928,12272,14200,
"Morisset - Cooranbong",3009,11950,14963,
"Toronto - Awaba",2112,11317,13425,
"Wangi Wangi - Rathmines",1294,7601,8897,
"West Wallsend - Barnsley - Killingworth",628,5854,6481,
"Adamstown - Kotara",2331,13270,15600,
"Beresfield - Hexham",1233,7122,8358,
"Hamilton - Broadmeadow",2323,9525,11847,
"Lambton - New Lambton",2509,14011,16526,
"Maryland - Fletcher - Minmi",2209,11359,13570,
"Mayfield - Warabrook",2901,11966,14873,
"Merewether - The Junction",2066,11548,13622,
"Newcastle - Cooks Hill",2615,8149,10757,
"Newcastle Port - Kooragang",0,15,16,
"Shortland - Jesmond",3790,7749,11544,
"Stockton - Fullerton Cove",1202,6295,7495,
"Wallsend - Elermore Vale",3563,16063,19628,
"Waratah - North Lambton",2246,9809,12059,
"Wickham - Carrington - Tighes Hill",1427,6576,8003,
"Ballina",3316,13793,17115,
"Ballina Region",3036,13800,16835,
"Bangalow",1682,3987,5670,
"Brunswick Heads - Ocean Shores",2217,5993,8212,
"Byron Bay",3415,6092,9503,
"Evans Head",876,4345,5219,
"Lennox Head - Skennars Head",1430,6317,7741,
"Mullumbimby",2636,5360,7994,
"Casino",1584,10646,12231,
"Casino Region",1263,5708,6972,
"Goonellabah",2055,11069,13122,
"Kyogle",1460,5854,7312,
"Lismore",2700,12582,15282,
"Lismore Region",3102,11930,15028,
"Kingscliff - Fingal Head",2855,10295,13150,
"Murwillumbah",1694,7249,8942,
"Murwillumbah Region",2305,7349,9653,
"Pottsville",2614,10562,13181,
"Tweed Heads",5371,14042,19418,
"Banora Point",3183,12449,15636,
"Terranora - North Tumblegum",593,2654,3249,
"Tweed Heads South",2258,5884,8146,
"Griffith (NSW)",6077,13069,19143,
"Griffith Region",2580,10297,12880,
"Leeton",1904,8181,10086,
"Narrandera",1024,5009,6034,
"Tumbarumba",618,2834,3445,
"Tumut",1231,5042,6275,
"Tumut Region",856,3861,4715,
"Cootamundra",1123,6447,7566,
"Gundagai",483,3114,3596,
"Junee",1097,5145,6245,
"Temora",859,5860,6717,
"Wagga Wagga - East",2323,14261,16585,
"Wagga Wagga - North",764,3640,4404,
"Wagga Wagga - South",3199,18074,21266,
"Wagga Wagga - West",2395,9762,12155,
"Wagga Wagga Region",2210,12604,14819,
"Berry - Kangaroo Valley",2130,6654,8788,
"Callala Bay - Currarong",827,2788,3611,
"Culburra Beach",1008,3946,4962,
"Ettrema - Sassafras - Budawang",15,34,54,
"Huskisson - Vincentia",1073,3119,4194,
"North Nowra - Bomaderry",3160,12599,15759,
"Nowra",4061,15971,20040,
"St Georges Basin - Erowal Bay",2888,11117,14006,
"Sussex Inlet - Berrara",887,3456,4345,
"Tomerong - Wandandian - Woollamia",677,2725,3405,
"Ulladulla",3090,12188,15279,
"Ulladulla Region",1052,4009,5063,
"Bowral",3307,9635,12948,
"Hill Top - Colo Vale",1058,4968,6026,
"Mittagong",2114,6886,8999,
"Moss Vale - Berrima",2200,7603,9801,
"Robertson - Fitzroy Falls",783,2727,3506,
"Southern Highlands",1521,5064,6585,
"Baulkham Hills (East)",9227,13718,22943,
"Baulkham Hills (West) - Bella Vista",8478,11590,20068,
"Glenhaven",1631,4616,6253,
"West Pennant Hills",5426,7210,12640,
"Castle Hill - Central",3303,4308,7609,
"Castle Hill - East",2439,3155,5594,
"Castle Hill - North",4728,7156,11886,
"Castle Hill - South",4015,5499,9519,
"Castle Hill - West",2303,2930,5239,
"Cherrybrook",9391,9372,18768,
"Kellyville",9155,14071,23231,
"Dural - Kenthurst - Wisemans Ferry",5755,15259,21019,
"Galston - Laughtondale",1193,4017,5210,
"Bilpin - Colo - St Albans",741,1948,2691,
"Kurrajong Heights - Ebenezer",3869,18029,21898,
"Pitt Town - McGraths Hill",1878,8655,10531,
"Rouse Hill - Beaumont Hills",8001,14644,22651,
"Blacktown (East) - Kings Park",9599,7328,16920,
