Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by ENGP Proficiency in Spoken English"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ENGP Proficiency in Spoken English","Very well","Well","Not well","Not at all","Not stated - both language (LANP) and proficiency (ENGP) not stated","Not stated - language (LANP) stated, proficiency (ENGP) not stated","Not applicable","Total",
"SA2 (UR)",
"Dubbo - South",721,402,101,43,999,11,14671,16942,
"Dubbo - West",288,114,37,11,659,0,7665,8769,
"Dubbo Region",45,11,0,0,480,0,5082,5626,
"Gilgandra",62,21,0,4,342,7,3938,4376,
"Narromine",62,26,8,7,598,0,5830,6537,
"Wellington",114,30,16,3,1556,4,7102,8831,
"Branxton - Greta - Pokolbin",190,47,10,7,628,8,9229,10124,
"Cessnock",274,107,47,28,2105,19,19424,21995,
"Cessnock Region",98,29,9,6,827,3,6965,7926,
"Dungog",69,20,8,0,604,0,8283,8976,
"Kurri Kurri - Abermain",208,79,18,16,1088,11,16225,17639,
"Singleton",399,127,57,27,921,7,14557,16094,
"Singleton Region",78,15,9,9,621,0,4195,4922,
"Maitland",168,57,23,17,451,4,5876,6601,
"Maitland - East",860,312,133,48,1312,19,24732,27416,
"Maitland - North",152,14,9,3,345,5,7086,7611,
"Maitland - West",541,203,67,46,1122,17,20534,22525,
"Thornton - Millers Forest",271,76,41,15,272,6,9329,10003,
"Anna Bay",145,37,12,5,470,0,5057,5726,
"Lemon Tree Passage - Tanilba Bay",125,22,13,7,436,10,6077,6685,
"Nelson Bay Peninsula",685,281,84,19,1499,24,18436,21015,
"Raymond Terrace",299,110,41,21,981,5,12365,13825,
"Seaham - Woodville",75,16,17,0,239,3,5069,5412,
"Tea Gardens - Hawks Nest",142,47,7,4,272,0,4561,5038,
"Williamtown - Medowie - Karuah",252,95,32,12,998,0,12278,13673,
"Muswellbrook",314,161,39,19,964,8,10570,12072,
"Muswellbrook Region",57,16,4,0,327,0,3610,4013,
"Scone",129,91,59,13,388,6,5146,5823,
"Scone Region",106,44,10,6,823,0,7301,8288,
"Dapto - Avondale",1081,456,170,48,812,30,20867,23460,
"Horsley - Kembla Grange",625,208,91,40,195,21,7473,8655,
"Port Kembla Industrial",0,0,0,0,4,0,8,13,
"Unanderra - Mount Kembla",1598,510,237,60,705,103,12165,15374,
"Berkeley - Lake Heights - Cringila",2098,1040,703,163,706,57,9035,13797,
"Port Kembla - Warrawong",1417,829,772,106,596,53,5983,9751,
"Windang - Primbee",263,124,86,17,229,12,3570,4301,
"Illawarra Catchment Reserve",0,0,0,0,0,0,4,7,
"Albion Park - Macquarie Pass",601,155,64,32,475,16,12992,14331,
"Albion Park Rail",270,82,43,16,359,3,6145,6918,
"Kiama",291,79,40,6,444,7,6830,7695,
"Kiama Downs - Minnamurra",185,44,15,9,208,0,5421,5875,
"Kiama Hinterland - Gerringong",199,61,14,9,627,8,6895,7812,
"Shellharbour - Flinders",1424,456,214,39,724,22,13950,16831,
"Shellharbour - Oak Flats",872,359,172,33,403,20,8094,9951,
"Warilla",1293,640,350,94,1236,32,16776,20422,
"Balgownie - Fairy Meadow",2200,1306,568,124,879,39,16089,21201,
"Corrimal - Tarrawanna - Bellambi",1160,488,223,37,652,19,12840,15421,
"Figtree - Keiraville",2600,1244,536,116,697,27,15869,21083,
"Helensburgh",351,72,60,22,340,4,7936,8788,
"Thirroul - Austinmer - Coalcliff",524,90,28,15,493,6,10150,11306,
"Woonona - Bulli - Russell Vale",862,241,102,49,782,16,17785,19840,
"Wollongong - East",1473,1190,531,110,1583,25,9055,13968,
"Wollongong - West",2446,1827,914,210,768,41,10500,16707,
"Bulahdelah - Stroud",80,13,5,0,298,0,4337,4725,
"Forster",277,119,30,6,1002,9,12821,14270,
"Forster-Tuncurry Region",114,24,10,4,422,4,5509,6085,
"Tuncurry",107,68,21,4,474,0,5513,6182,
"Kempsey",250,101,50,12,1828,8,12513,14756,
"Kempsey Region",138,44,12,13,746,0,8075,9024,
"Macksville - Scotts Head",92,17,8,0,368,0,4315,4792,
"Nambucca Heads",156,43,10,10,537,3,5998,6752,
"Nambucca Heads Region",120,38,8,3,527,0,6970,7665,
"South West Rocks",79,21,13,3,307,9,4702,5133,
"Lord Howe Island",16,6,0,0,41,0,322,381,
"Laurieton - Bonny Hills",234,67,19,6,947,11,15462,16743,
"Port Macquarie - East",783,206,50,29,1402,18,25556,28050,
"Port Macquarie - West",539,171,90,18,1143,19,15356,17326,
"Port Macquarie Region",97,20,6,0,520,0,4654,5293,
"Wauchope",163,53,10,11,662,3,10253,11150,
"Gloucester",69,20,4,0,332,3,4597,5033,
"Old Bar - Manning Point - Red Head",234,60,17,3,535,5,9681,10531,
"Taree",459,155,57,19,1420,26,18347,20478,
"Taree Region",166,35,9,5,964,12,11254,12444,
"Wingham",90,29,8,0,321,5,4923,5374,
"Albury - East",520,214,56,25,677,10,13546,15047,
"Albury - North",328,168,99,48,786,7,8405,9845,
"Albury - South",451,179,69,25,837,12,8734,10302,
"Albury Region",162,43,23,10,703,5,10662,11611,
"Lavington",646,371,208,114,995,19,12124,14473,
"Hay",77,35,11,3,337,9,2506,2970,
"Wentworth - Buronga",145,53,21,0,593,7,5149,5965,
"Wentworth-Balranald Region",125,50,27,0,419,4,2984,3611,
"Corowa",77,42,8,7,380,6,4958,5482,
"Corowa Region",77,36,7,0,575,6,6037,6742,
"Deniliquin",139,75,56,10,656,5,6489,7434,
